,ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
0,87,Camino Natural Vía Verde del Litoral,,Camino Natural Vía Verde del Litoral ,"48,8813592775",Itinerario principal,,,,Andalucía,Huelva
1,175,Camino Natural Vía Verde del Guadiana,Senda del embalse,Camino Natural Vía Verde del Guadiana Senda del embalse,"16,6982966982",Itinerario principal,,,,Andalucía,Huelva
2,176,Camino Natural Vía Verde Entre Ríos,Tramo Entre Ríos,Camino Natural Vía Verde Entre Ríos Tramo Entre Ríos,"8,93346591224",CN por etapas (2),,,,Andalucía,Cádiz
3,177,Camino Natural Vía Verde Entre Ríos,Tramo de Rota,Camino Natural Vía Verde Entre Ríos Tramo de Rota,"7,43090075836",CN por etapas (2),,,,Andalucía,Cádiz
4,211,Camino Natural del Guadiana,Etapa 41: Cuartel Cañaveral - Sanlúcar de Guadiana,Camino Natural del Guadiana Etapa 41: Cuartel Cañaveral - Sanlúcar de Guadiana,"18,9502078688",CN por etapas (44),,,,Andalucía,Huelva
5,212,Camino Natural del Guadiana,Ramal El Granado,Camino Natural del Guadiana Ramal El Granado,"4,69936833388",CN por etapas (44),,,,Andalucía,Huelva
6,213,Camino Natural del Guadiana,Etapa 42: Sanlúcar de Guadiana - San Silvestre de Guzmán,Camino Natural del Guadiana Etapa 42: Sanlúcar de Guadiana - San Silvestre de Guzmán,"25,0281987369",CN por etapas (44),,,,Andalucía,Huelva
7,214,Camino Natural del Guadiana,Etapa 43: San Silvestre de Guzmán - Villablanca,Camino Natural del Guadiana Etapa 43: San Silvestre de Guzmán - Villablanca,"22,5313467116",CN por etapas (44),,,,Andalucía,Huelva
8,215,Camino Natural del Guadiana,Etapa 44: Villablanca - Ayamonte,Camino Natural del Guadiana Etapa 44: Villablanca - Ayamonte,"20,2909821876",CN por etapas (44),,,,Andalucía,Huelva
9,228,Camino Natural Vía Verde de los Molinos del Agua,,Camino Natural Vía Verde de los Molinos del Agua ,"33,2728285815",Itinerario principal,,,,Andalucía,Huelva
10,254,Camino Natural Vía Verde de La Campiña,,Camino Natural Vía Verde de La Campiña ,"54,1594609084",Itinerario principal,,,,Andalucía,Sevilla
11,257,Camino Natural Vía Verde del Aceite,Tramo de la Subbética,Camino Natural Vía Verde del Aceite Tramo de la Subbética,"57,4295878573",CN por etapas (3),,,,Andalucía,Córdoba
12,263,Camino Natural Vía Verde del Aceite,Tramo Jaén - Río Guadajoz,Camino Natural Vía Verde del Aceite Tramo Jaén - Río Guadajoz,"54,0673777195",CN por etapas (3),,,,Andalucía,"Córdoba, Jaén"
13,393,Camino Natural Vía Verde de la Sierra,,Camino Natural Vía Verde de la Sierra ,"36,0816421062",Itinerario principal,,,,Andalucía,"Cádiz, Sevilla"
14,394,Camino Natural Vía Verde del ferocarril Guadix - Almendricos (Valle del Almanzora),Tramo: El Hijate - Olula del Río,Camino Natural Vía Verde del ferocarril Guadix - Almendricos (Valle del Almanzora) Tramo: El Hijate - Olula del Río,"35,7425587774",CN por tramos (2),,,,Andalucía,Almería
15,395,Camino Natural Vía Verde del Aceite,Tramo Moriles - Campo Real,Camino Natural Vía Verde del Aceite Tramo Moriles - Campo Real,"7,89963342431",CN por etapas (3),,,,Andalucía,Córdoba
16,396,Camino Natural Vía Verde del Guadalimar,,Camino Natural Vía Verde del Guadalimar ,"15,3792002381",Itinerario principal,,,,Andalucía,Jaén
17,526,Camino Natural Vía Verde de Lucainena de las Torres a Agua Amarga,Tramo Vía Verde,Camino Natural Vía Verde de Lucainena de las Torres a Agua Amarga Tramo Vía Verde,"15,5204241349",Itinerario principal,,,,Andalucía,Almería
18,529,Camino Natural Vía Verde de Segura,,Camino Natural Vía Verde de Segura ,"27,1976042059",Itinerario principal,,,,Andalucía,Jaén
19,599,Camino Natural Vía Verde del Guadiato,,Camino Natural Vía Verde del Guadiato ,"6,9357406331",Itinerario principal,,,,Andalucía,Córdoba
20,613,Camino Natural Vía Verde del ferrocarril Guadix - Almendricos (Valle del Almanzora),Tramo: Fines - Arboleas,Camino Natural Vía Verde del ferrocarril Guadix - Almendricos (Valle del Almanzora) Tramo: Fines - Arboleas,"21,2051704956",CN por tramos (2),,,,Andalucía,Almería
