ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
0,Camino Natural de Anaga - Chasna,Etapa 1: La Esperanza - La Caldera,Camino Natural de Anaga - Chasna Etapa 1: La Esperanza - La Caldera,"30,9240811977",CN por etapas (5),,,,Canarias,Santa Cruz de Tenerife
1,Camino Natural de Anaga - Chasna,Etapa 2: La Caldera - El Portillo,Camino Natural de Anaga - Chasna Etapa 2: La Caldera - El Portillo,"14,1712623036",CN por etapas (5),,,,Canarias,Santa Cruz de Tenerife
2,Camino Natural de Anaga - Chasna,Etapa 3: El Portillo - Parador de Las Cañadas del Teide,Camino Natural de Anaga - Chasna Etapa 3: El Portillo - Parador de Las Cañadas del Teide,"16,686617195",CN por etapas (5),,,,Canarias,Santa Cruz de Tenerife
3,Camino Natural de Anaga - Chasna,Etapa 4: Parador de Las Cañadas del Teide - Vilaflor,Camino Natural de Anaga - Chasna Etapa 4: Parador de Las Cañadas del Teide - Vilaflor,"15,4203065318",CN por etapas (5),,,,Canarias,Santa Cruz de Tenerife
4,Camino Natural de Anaga - Chasna,Etapa 5: Vilaflor - Arona,Camino Natural de Anaga - Chasna Etapa 5: Vilaflor - Arona,"18,0173604319",CN por etapas (5),,,,Canarias,Santa Cruz de Tenerife
5,Camino Natural Cumbres de La Gomera,Etapa 1: San Sebastián de La Gomera - Degollada de Peraza,Camino Natural Cumbres de La Gomera Etapa 1: San Sebastián de La Gomera - Degollada de Peraza,"10,0108829371",CN por etapas (4),,,,Canarias,Santa Cruz de Tenerife
6,Camino Natural Cumbres de La Gomera,Etapa 3: Chipude - Vallehermoso,Camino Natural Cumbres de La Gomera Etapa 3: Chipude - Vallehermoso,"14,5453089582",CN por etapas (4),,,,Canarias,Santa Cruz de Tenerife
7,Camino Natural Cumbres de La Gomera,Ramal: Vallehermoso - Playa de Vallehermoso,Camino Natural Cumbres de La Gomera Ramal: Vallehermoso - Playa de Vallehermoso,"3,78088266686",CN por etapas (4),,,,Canarias,Santa Cruz de Tenerife
8,Camino Natural Costas de La Gomera (GR-132),Etapa 1: San Sebastián de La Gomera - Hermigua,Camino Natural Costas de La Gomera (GR-132) Etapa 1: San Sebastián de La Gomera - Hermigua,"27,2973101171",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
9,Camino Natural Costas de La Gomera (GR-132),Etapa 7: Alajeró - Playa de Santiago,Camino Natural Costas de La Gomera (GR-132) Etapa 7: Alajeró - Playa de Santiago,"10,9561074963",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
10,Camino Natural Costas de La Gomera (GR-132),Etapa 6: La Dama - Alajeró,Camino Natural Costas de La Gomera (GR-132) Etapa 6: La Dama - Alajeró,"12,596526828",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
11,Camino Natural Costas de La Gomera (GR-132),Etapa 5: La Calera (Valle Gran Rey) - La Dama,Camino Natural Costas de La Gomera (GR-132) Etapa 5: La Calera (Valle Gran Rey) - La Dama,"16,9215379273",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
12,Camino Natural Costas de La Gomera (GR-132),Etapa 4: Alojera - Valle Gran Rey,Camino Natural Costas de La Gomera (GR-132) Etapa 4: Alojera - Valle Gran Rey,"11,7331285026",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
13,Camino Natural Costas de La Gomera (GR-132),Etapa 3: Playa de Vallehermoso - Alojera,Camino Natural Costas de La Gomera (GR-132) Etapa 3: Playa de Vallehermoso - Alojera,"16,0190014891",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
14,Camino Natural Costas de La Gomera (GR-132),Etapa 3.1: Las Rosas - Chorros de Epina,Camino Natural Costas de La Gomera (GR-132) Etapa 3.1: Las Rosas - Chorros de Epina,"12,3805393846",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
15,Camino Natural Costas de La Gomera (GR-132),Etapa 2: Hermigua - Playa de Vallehermoso,Camino Natural Costas de La Gomera (GR-132) Etapa 2: Hermigua - Playa de Vallehermoso,"15,7146973107",CN por etapas (9),,,,Canarias,Santa Cruz de Tenerife
16,Camino Natural de Órzola a Playa Blanca,Etapa 1: Órzola - Haría,Camino Natural de Órzola a Playa Blanca Etapa 1: Órzola - Haría,"12,3620198724",CN por etapas (5),,,,Canarias,Las Palmas
17,Camino Natural de Órzola a Playa Blanca,Etapa 2: Haría - Teguise,Camino Natural de Órzola a Playa Blanca Etapa 2: Haría - Teguise,"12,7161841986",CN por etapas (5),,,,Canarias,Las Palmas
18,Camino Natural de Órzola a Playa Blanca,Etapa 3: Teguise - San Bartolomé,Camino Natural de Órzola a Playa Blanca Etapa 3: Teguise - San Bartolomé,"9,45876538887",CN por etapas (5),,,,Canarias,Las Palmas
19,Camino Natural de Órzola a Playa Blanca,Etapa 4: San Bartolomé - Yaiza,Camino Natural de Órzola a Playa Blanca Etapa 4: San Bartolomé - Yaiza,"23,3345045253",CN por etapas (5),,,,Canarias,Las Palmas
20,Camino Natural de Órzola a Playa Blanca,Etapa 5: Yaiza - Playa Blanca,Camino Natural de Órzola a Playa Blanca Etapa 5: Yaiza - Playa Blanca,"13,9460137448",CN por etapas (5),,,,Canarias,Las Palmas
21,Camino Natural por los senderos tradicionales de El Hierro,Sendero GR-131. Tramo 1: Tamaduste - Valverde,Camino Natural por los senderos tradicionales de El Hierro Sendero GR-131. Tramo 1: Tamaduste - Valverde,"3,84238927615",CN por etapas (19),,,,Canarias,Santa Cruz de Tenerife
22,Camino Natural por los senderos tradicionales de El Hierro,Sendero GR-131. Tramo 2: Puerto de la Estaca - Valverde,Camino Natural por los senderos tradicionales de El Hierro Sendero GR-131. Tramo 2: Puerto de la Estaca - Valverde,"5,02763397562",CN por etapas (19),,,,Canarias,Santa Cruz de Tenerife
23,Camino Natural por los senderos tradicionales de El Hierro,Sendero GR-131. Tramo 4: Ermita Virgen de Los Reyes - Faro de Orchilla,Camino Natural por los senderos tradicionales de El Hierro Sendero GR-131. Tramo 4: Ermita Virgen de Los Reyes - Faro de Orchilla,"5,8216809278",CN por etapas (19),,,,Canarias,Santa Cruz de Tenerife
