ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
705,Camino Natural de Son Juny,,Camino Natural de Son Juny ,"0,4823609699",Itinerario principal,,,,Illes Balears,Illes Balears
706,Camino Natural Camí de Cavalls,Etapa 1: Maó - Es Grau,Camino Natural Camí de Cavalls Etapa 1: Maó - Es Grau,"10,0785862203",CN por etapas (20),,,,Illes Balears,Illes Balears
707,Camino Natural Camí de Cavalls,Etapa 2: Es Grau - Cabo de Favàritx,Camino Natural Camí de Cavalls Etapa 2: Es Grau - Cabo de Favàritx,"8,63365802725",CN por etapas (20),,,,Illes Balears,Illes Balears
708,Camino Natural Camí de Cavalls,Etapa 3: Cabo de Favàritx - Arenal d'en Castell,Camino Natural Camí de Cavalls Etapa 3: Cabo de Favàritx - Arenal d'en Castell,"13,7774429717",CN por etapas (20),,,,Illes Balears,Illes Balears
709,Camino Natural Camí de Cavalls,Etapa 4: Arenal d'en Castell - Cala Tirant,Camino Natural Camí de Cavalls Etapa 4: Arenal d'en Castell - Cala Tirant,"10,9082662654",CN por etapas (20),,,,Illes Balears,Illes Balears
710,Camino Natural Camí de Cavalls,Etapa 5: Cala Tiran t- Binimel.là,Camino Natural Camí de Cavalls Etapa 5: Cala Tiran t- Binimel.là,"9,70764053378",CN por etapas (20),,,,Illes Balears,Illes Balears
711,Camino Natural Camí de Cavalls,Etapa 6: Binimel.là - Els Alocs,Camino Natural Camí de Cavalls Etapa 6: Binimel.là - Els Alocs,"8,77076108179",CN por etapas (20),,,,Illes Balears,Illes Balears
712,Camino Natural Camí de Cavalls,Etapa 7: Els Alocs - Playa de Algaiarens,Camino Natural Camí de Cavalls Etapa 7: Els Alocs - Playa de Algaiarens,"9,5293199298",CN por etapas (20),,,,Illes Balears,Illes Balears
713,Camino Natural Camí de Cavalls,Etapa 8: Playas de Algaiarens - Cala Morell,Camino Natural Camí de Cavalls Etapa 8: Playas de Algaiarens - Cala Morell,"5,44147988276",CN por etapas (20),,,,Illes Balears,Illes Balears
714,Camino Natural Camí de Cavalls,Etapa 9: Cala Morell - Punta Nati,Camino Natural Camí de Cavalls Etapa 9: Cala Morell - Punta Nati,"7,10276713399",CN por etapas (20),,,,Illes Balears,Illes Balears
715,Camino Natural Camí de Cavalls,Etapa 10: Punta Nati - Ciutadella,Camino Natural Camí de Cavalls Etapa 10: Punta Nati - Ciutadella,"10,5419411002",CN por etapas (20),,,,Illes Balears,Illes Balears
716,Camino Natural Camí de Cavalls,Etapa 11: Ciutadella - Cabo de Artrutx,Camino Natural Camí de Cavalls Etapa 11: Ciutadella - Cabo de Artrutx,"13,4611223364",CN por etapas (20),,,,Illes Balears,Illes Balears
717,Camino Natural Camí de Cavalls,Etapa 12: Cabo de Artrutx - Cala en Turqueta,Camino Natural Camí de Cavalls Etapa 12: Cabo de Artrutx - Cala en Turqueta,"13,5251356621",CN por etapas (20),,,,Illes Balears,Illes Balears
718,Camino Natural Camí de Cavalls,Etapa 13: Cala en Turqueta - Cala Galdana,Camino Natural Camí de Cavalls Etapa 13: Cala en Turqueta - Cala Galdana,"6,57280329445",CN por etapas (20),,,,Illes Balears,Illes Balears
719,Camino Natural Camí de Cavalls,Etapa 14: Cala Galdana - Playa de Santo Tomás,Camino Natural Camí de Cavalls Etapa 14: Cala Galdana - Playa de Santo Tomás,"10,5692720119",CN por etapas (20),,,,Illes Balears,Illes Balears
720,Camino Natural Camí de Cavalls,Etapa 15: Playa de Santo Tomás - Son Bou,Camino Natural Camí de Cavalls Etapa 15: Playa de Santo Tomás - Son Bou,"6,47225545477",CN por etapas (20),,,,Illes Balears,Illes Balears
721,Camino Natural Camí de Cavalls,Etapa 16: Son Bou - Cala en Porter,Camino Natural Camí de Cavalls Etapa 16: Son Bou - Cala en Porter,"8,0991705994",CN por etapas (20),,,,Illes Balears,Illes Balears
722,Camino Natural Camí de Cavalls,Etapa 17: Cala en Porter - Binissafúller,Camino Natural Camí de Cavalls Etapa 17: Cala en Porter - Binissafúller,"11,9298373028",CN por etapas (20),,,,Illes Balears,Illes Balears
723,Camino Natural Camí de Cavalls,Etapa 18: Binissafúller - Punta Prima,Camino Natural Camí de Cavalls Etapa 18: Binissafúller - Punta Prima,"8,21772873708",CN por etapas (20),,,,Illes Balears,Illes Balears
724,Camino Natural Camí de Cavalls,Etapa 19: Punta Prima - Cala Sant Esteve,Camino Natural Camí de Cavalls Etapa 19: Punta Prima - Cala Sant Esteve,"7,08215358632",CN por etapas (20),,,,Illes Balears,Illes Balears
725,Camino Natural Camí de Cavalls,Etapa 20: Cala Sant Esteve - Maó,Camino Natural Camí de Cavalls Etapa 20: Cala Sant Esteve - Maó,"6,46824526577",CN por etapas (20),,,,Illes Balears,Illes Balears
880,Visita arqueológica - Principal,,Visita arqueológica - Principal ,,,"<center><table><tr><th colspan='2' align='center'><em>Atributos</em></th></tr><tr bgcolor=""#E3E3F3""> <th>Parque Nacional</th> <td>Archipiélago de Cabrera</td> </tr><tr bgcolor=""""> <th>Nombre</th> <td>Visita arqueológica</td> </tr><tr bgcolor=""#E3E3F3""> <th>Número</th> <td>Excursión6</td> </tr><tr bgcolor=""""> <th>Tipo</th> <td>Principal</td> </tr><tr bgcolor=""#E3E3F3""> <th>Sentido</th> <td>Ida</td> </tr><tr bgcolor=""""> <th>Dificultad</th> <td>Baja</td> </tr><tr bgcolor=""#E3E3F3""> <th>Duración (h)</th> <td>1</td> </tr><tr bgcolor=""""> <th>Longitud (km)</th> <td>1.2</td> </tr><tr bgcolor=""#E3E3F3""> <th>Recomendaciones</th> <td>Ninguna en especial.</td> </tr><tr bgcolor=""""> <th>Descripción</th> <td>Recorrido autoguiado para conocer algunos de los yacimientos arqueológicos vinculados a la presencia del hombre en la isla desde la época romana y bizantina hasta la contemporánea. La excursión parte de Es Moll y se dirige a Sa Platgeta (15 minutos) por la pista que rodea parte de la bahía de Es Port. Esta preciosa cala, donde existe un panel informativo sobre la visita arqueológica, es el punto de partida y referencia para conocer los tres enclaves de que consta esta excursión. Los tres se sitúan muy cerca uno de otro, dentro de un área de 10 hectáreas conocida como Pla de ses Figueres. A lo largo de la excursión podremos visitar la factoría de salazones de pescado, la necrópolis bizantina y los restos de algunas viviendas de época napoleónica, del periodo napoleónico. Aunque se han encontrado restos, fundamentalmente cerámica (cueva de L’Olló), que indican la presencia humana en la isla en el 2.000 a.C., no se tiene constancia de asentamiento estable, aunque si esporádico o temporal —probablemente vinculado a la estratégica ubicación de Cabrera en las rutas comerciales mediterráneas junto a la existencia de agua potable permanente en la isla y las magníficas características del puerto—, hasta la época bizantina. La factoría de salazón de pescado se localiza en la orilla del mar, junto a Sa Platgeta, y consta de diferentes construcciones rectangulares contiguas excavadas en la roca a modo de piletas en las que se elaboraba salazón de pescado. Estas construcciones aparecen relacionadas con otras similares situadas en diferentes enclaves mediterráneos vinculados a almadrabas de época romana. Estas piletas sirvieron también de hogar a los prisioneros del ejército francés. Las excavaciones arqueológicas han sacado a la luz tanto utensilios ligados a la pesca como objetos de cocina y del uniforme de los militares. En esta zona y la vecina Cas Pagès establecieron su morada los soldados y oficiales del ejército francés presos tras su capitulación en la batalla de Bailén. Esta derrota napoleónica en la Guerra de la Independencia española, culminó con el traslado de un buen número de prisioneros franceses desde El Puerto de Santa María (Cádiz) hasta Cabrera. En un principio entre 4.500 y 5.000 personas y a lo largo de los cinco años (1809-1814) que duró su cautiverio en la isla antes de regresar a Francia, entre 9.000 y 15.000 prisioneros. Sólo un tercio de ellos sobrevivieron. A la izquierda de la pista que conduce desde Sa Platgeta a Es Celler se encuentra la necrópolis bizantina. Corresponde a una de las pequeñas comunidades monásticas asentada en Cabrera en el siglo VII d.C., de las muchas que surgieron en la cuenca mediterránea a partir del siglo IV d.C. Consta de cinco tumbas —tres de ellas excavadas— y junto a ellas han aparecido restos de vajilla que indica el asentamiento de estos monjes en el lugar. Hecho reforzado por la existencia de una construcción anexa y restos de moluscos marinos de los que se obtenía púrpura. Es muy probable que los monjes tuvieran un taller para la obtención y ornamentación con púrpura. Una visita al Museo (excursión 5) es el complemento perfecto de esta visita de campo.</td> </tr></table></center>",,,Illes Balears,Illes Balears
881,El Castillo - Principal,,El Castillo - Principal ,,,"<center><table><tr><th colspan='2' align='center'><em>Atributos</em></th></tr><tr bgcolor=""#E3E3F3""> <th>Parque Nacional</th> <td>Archipiélago de Cabrera</td> </tr><tr bgcolor=""""> <th>Nombre</th> <td>El Castillo</td> </tr><tr bgcolor=""#E3E3F3""> <th>Número</th> <td>Excursión8</td> </tr><tr bgcolor=""""> <th>Tipo</th> <td>Principal</td> </tr><tr bgcolor=""#E3E3F3""> <th>Sentido</th> <td>Ida y vuelta</td> </tr><tr bgcolor=""""> <th>Dificultad</th> <td>Baja</td> </tr><tr bgcolor=""#E3E3F3""> <th>Duración (h)</th> <td>1</td> </tr><tr bgcolor=""""> <th>Longitud (km)</th> <td>1.4</td> </tr><tr bgcolor=""#E3E3F3""> <th>Recomendaciones</th> <td>Ninguna en especial.</td> </tr><tr bgcolor=""""> <th>Descripción</th> <td>La ruta que conduce hasta el castillo roquero de Cabrera es la más visitada del parque nacional. Magnífico emplazamiento sobre la bocana de la bahía y no menos espectaculares panorámicas. Recorrido autoguiado sencillo. Una de las rutas más cortas, y más célebres del parque nacional es la que sube hasta el Castillo. Es una ruta fácil (1,5 kilómetros) que no lleva más de 25 minutos de subida y 20 de bajada, pero bien es cierto que el enclave donde se ubica este castillo roquero bien merece una visita pausada. El emplazamiento no puede ser mejor y cumple a la perfección su cometido de dominar la entrada a la bahía de Cabrera. Desde sus 72 metros de altitud se observa una panorámica circular inolvidable tanto de la propia isla como de algunos de los islotes e islas vecinas situadas al norte. En días despejados incluso la sierra mallorquina de Tramuntana. El recorrido comienza en la explanada del puerto (Es Moll) y continúa por la pista principal unos 50 metros hasta que encontramos el primer desvío a la izquierda. Es el ancho camino de tierra que lleva al castillo. Enseguida llama nuestra atención un gran orificio en la pared rocosa que queda a nuestra derecha. Es la cueva des Teatre, conocida así por ser el lugar donde los prisioneros franceses que ocuparon durante 5 años la isla efectuaban sus particulares representaciones teatrales. El acceso no está permitido pues no se puede abandonar el camino. La subida se realiza por una pista de notable pendiente hasta el cementerio. En dicho cementerio fue enterrado el piloto alemán Johannes Böckler tras su accidente mortal cerca del faro de l’Enciola durante la II Guerra Mundial— y de allí por una senda hacia el castillo. Los restos del piloto fueron trasladados en 1982 al cementerio de Cuacos de Yuste (Cáceres). Yacen en el pequeño cementerio junto al Castillo —acceso no permitido— los restos de un pescador, un niño y los últimos propietarios de la isla. No existe sombra sino una maquia aclarada en la que predominan lechetreznas y belchos pero amenizarán la subida a buen seguro las lagartijas baleares que gustan de tomar el sol en las rocas y plantas del camino. Se trata de un interesante endemismo. Una vez arriba, nos espera esta esbelta fortificación originaria del siglo XIV desde donde se comunicaron mediante señales con la costa de Sa Ràpita (Mallorca) ante los ataques de piratas y corsarios. De hecho se produjeron varios ataques que obligaron a reconstruir en muchas ocasiones la fortificación. Concluidas sus funciones militares durante los siglos siguientes, sirvió incluso de hospital de campaña a los prisioneros franceses y hospital de cuarentena en época de epidemias. En 1949 el castillo fue declarado BIC (Bien de Interés Cultural) y fue reformado de nuevo en 1982. El castillo es, mención aparte de los restos arqueológicos (ruta 6), la construcción más antigua de Cabrera. Se puede entrar y recorrer la atalaya accediendo por su estrecha escalera de caracol hasta las almenas superiores. Aquí es una delicia contemplar cómo las gaviotas patiamarillas, las más abundantes, pasan sin parar bajo los muros del castillo o sobre nuestras cabezas en espectaculares vuelos rasantes. Podemos observar también, de forma esporádica, alguna gaviota de Audouin de las que crían en el parque. Para regresar empleamos el mismo camino de ida. A pesar de lo sencillo del terreno hay que tener precaución en la bajada pues el lecho de arenilla y piedrecillas sueltas que cubre la pista propicia no pocos resbalones.</td> </tr></table></center>",,,Illes Balears,Illes Balears
