ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
339,Camino Natural Vía Verde del río Cidacos,,Camino Natural Vía Verde del río Cidacos ,"33,6560279128",Itinerario principal,,,,La Rioja,La Rioja
625,Camino Natural del Ebro,Etapa 16.1: Logroño - Agoncillo,Camino Natural del Ebro Etapa 16.1: Logroño - Agoncillo,"16,4903653358",CN por etapas (60),,,,La Rioja,La Rioja
4575,VV del Cidacos,,VV del Cidacos ,"33,69",,,VVCIDA_034,Cidacos greenway,La Rioja,La Rioja
338,Camino Natural Vía Verde del río Oja,,Camino Natural Vía Verde del río Oja ,"27,2862385053",Itinerario principal,,,,"Castilla y León, La Rioja","Burgos, La Rioja"
347,Camino Natural del Ebro,Etapa 16.2: Ramal a Mendavía,Camino Natural del Ebro Etapa 16.2: Ramal a Mendavía,"0,9100327039",CN por etapas (60),,,,"Comunidad Foral de Navarra, La Rioja","La Rioja, Navarra"
589,Camino Natural del Ebro,Etapa 11: Baños de Sobrón - Miranda de Ebro,Camino Natural del Ebro Etapa 11: Baños de Sobrón - Miranda de Ebro,"21,8744457169",CN por etapas (60),,,,"Castilla y León, La Rioja","Burgos, La Rioja"
590,Camino Natural del Ebro,Etapa 11.1: Puentelarrá/Larrazubi - Miranda de Ebro,Camino Natural del Ebro Etapa 11.1: Puentelarrá/Larrazubi - Miranda de Ebro,"16,7041709245",CN por etapas (60),,,,"Castilla y León, La Rioja, País Vasco/Euskadi","Araba/Álava, Burgos, La Rioja"
591,Camino Natural del Ebro,Etapa 12: Miranda de Ebro - Haro,Camino Natural del Ebro Etapa 12: Miranda de Ebro - Haro,"20,9146162488",CN por etapas (60),,,,"Castilla y León, La Rioja, País Vasco/Euskadi","Araba/Álava, Burgos, La Rioja"
592,Camino Natural del Ebro,Etapa 12.1: Miranda de Ebro - Puente de Briñas,Camino Natural del Ebro Etapa 12.1: Miranda de Ebro - Puente de Briñas,"22,3019992484",CN por etapas (60),,,,"Castilla y León, La Rioja, País Vasco/Euskadi","Araba/Álava, Burgos, La Rioja"
593,Camino Natural del Ebro,Etapa 19: San Adrián - Milagro,Camino Natural del Ebro Etapa 19: San Adrián - Milagro,"29,5211943146",CN por etapas (60),,,,"Comunidad Foral de Navarra, La Rioja","La Rioja, Navarra"
