ID_Ruta,CUADRICULA
87,29SPB42
87,29SPB51
87,29SPB62
87,29SPB52
87,29SPB83
87,29SPB73
87,29SPB63
175,29SPB45
175,29SPB35
176,29SQA26
176,29SQA36
176,29SQA37
177,29SQA35
177,29SQA36
211,29SPB34
211,29SPB35
212,29SPB35
213,29SPB43
213,29SPB44
213,29SPB34
214,29SPB42
214,29SPB32
214,29SPB43
214,29SPB33
215,29SPB41
215,29SPB42
228,29SPB93
228,29SPB94
228,29SPB95
228,29SPB96
254,30SUG15
254,30SUG05
254,30SUG16
254,30SUG26
254,30SUG27
254,30SUG37
254,30SUG38
257,30SUG54
257,30SUG64
257,30SUG74
257,30SUG75
257,30SUG85
257,30SUG95
257,30SUG96
263,30SUG96
263,30SVG06
263,30SVG16
263,30SVG17
263,30SVG18
263,30SVG28
393,30STF78
393,30STF89
393,30STF99
393,30STF79
394,30SWG43
394,30SWG33
394,30SWG63
394,30SWG53
395,30SUG44
395,30SUG54
396,30SVH40
396,30SVH41
526,30SWF89
526,30SWF79
529,30SWH14
529,30SWH25
529,30SWH15
529,30SWH26
599,30SUH14
613,30SWG83
613,30SWG73
613,30SWG63
837,29SQB21
838,29SQB30
838,29SQB20
838,29SQB21
839,29SQB11
840,29SQA19
840,29SQA29
841,29SQB10
841,29SQA19
841,29SQA37
841,29SQA38
841,29SQA28
841,29SQA29
842,29SQA37
842,29SQA38
843,29SQB10
856,30SVG80
856,30SVG81
857,30SVF78
857,30SWG20
857,30SVF79
857,30SVF89
857,30SWF09
857,30SVF99
857,30SVG70
857,30SVG80
857,30SVG90
857,30SWG00
857,30SVG71
857,30SVG81
857,30SWG10
857,30SVF58
857,30SVF68
857,30SVF59
857,30SVF69
857,30SVG50
857,30SVG60
857,30SVG61
858,30SWF19
858,30SWF09
859,30SVG90
859,30SVG91
860,30SVF49
860,30SVG40
861,30SVF79
862,30SVG71
862,30SVG72
863,30SVG90
863,30SWG00
864,30SVF68
864,30SVF69
865,30SVF79
865,30SVF69
866,30SVF58
866,30SVF59
867,30SVF79
867,30SVG70
868,30SVG50
869,30SVF89
870,30SVG60
870,30SVG61
871,30SWF19
871,30SWF09
871,30SWG10
872,30SVG50
873,30SVF69
874,30SWG00
874,30SWG01
875,30SWG01
888,30SUF26
889,30SUF26
890,30SUF27
891,30SUF26
892,30SUF15
892,30SUF16
893,30SUF26
894,30SUF26
895,30SUF16
895,30SUF26
896,30SUF26
897,30SUF25
898,30SUF25
898,30SUF26
899,30SUF24
899,30SUF15
899,30SUF06
899,30SUF25
899,30SUF16
899,30SUF17
900,30SUF06
900,30SUF16
900,30SUF26
900,30SUF17
900,30SUF27
901,30SUF26
901,30SUF27
902,30SUF26
902,30SUF36
903,30SUF35
903,30SUF36
904,30SUF35
905,30SUF24
905,30SUF25
905,30SUF35
906,30SUF15
907,30SUF27
908,30SUF24
909,30SUF25
910,30SUF24
910,30SUF34
911,30SUF24
911,30SUF34
912,30SUF34
912,30SUF25
912,30SUF35
913,30SUF26
914,30SUF26
915,30SUF26
916,30SUF24
916,30SUF34
1211,30SVG14
1211,30SVG24
1222,30SUF79
1223,30SWF09
1227,30SUH41
1227,30SUH51
1227,30SUH42
1232,30SVF78
1244,30SVF17
1244,30SVF07
1244,30SVF08
1244,30SVF18
1282,30SWH00
1282,30SWH10
1282,30SWH11
1313,30SWH20
1313,30SWH10
1313,30SWH21
1313,30SWH11
1316,30SUF58
1316,30SUF59
1316,30SUF69
1321,30SUG18
1321,30SUG28
1326,30SUF07
1368,30SUG60
1368,30SUG61
1368,30SUG62
1372,30SWF48
1372,30SWF59
1372,30SWF49
1374,30SUF76
1374,30SUF66
1378,30SUF03
1378,30SUF13
1378,30SUF23
1378,30SUF24
1389,30SVG80
1389,30SVG90
1389,30SVG81
1395,29SPB41
1395,29SPB42
1413,30SVG70
1413,30SVG80
1413,30SVG71
1413,30SVG81
1416,30STF84
1416,30STF94
1416,30STF95
1421,30SUF79
1421,30SUF89
1441,30SVF17
1441,30SVF27
1441,30SVF18
1452,30SUF07
1452,30SUF17
1452,30SUF18
1452,30SUF28
1458,30SWH12
1460,30STF94
1460,30STF95
1461,30SUF79
1461,30SUG70
1462,30SUH50
1462,30SUH60
1462,30SUH51
1468,30SVF79
1468,30SVF89
1473,30SUG18
1473,30SUG08
1475,30SVF06
1475,30SVF16
1475,30SVF07
1479,30SWG09
1479,30SWH00
1487,30SWG71
1487,30SWG61
1500,30SUF24
1500,30SUF34
1502,30SUF27
1502,30SUF28
1502,30SUF38
1505,30SVF17
1505,30SVF07
1505,30SVF08
1505,30SVF18
1506,30SWF09
1506,30SWG00
1507,30SUF49
1507,30SUF39
1507,30SUG30
1510,30STF95
1510,30STF96
1510,30SUF06
1511,30SUF24
1511,30SUF34
1513,30SUG71
1513,30SUG81
1513,30SUG72
1515,30STF73
1515,30STF84
1515,30STF85
1515,30STF74
1520,30SWF39
1520,30SWF29
1522,30STF92
1522,30SUF02
1532,30SVF28
1532,30SVF29
1533,30STF95
1541,30SWG48
1541,30SWG49
1541,30SWH40
1542,30STF96
