Nombre,Longitud_km
SA Monte Perdido - Principal,8.57
SA Faja Pardina - Principal,8.55
SP Las Cutas - Principal,29.96
SP La Escala y Cobatar - Principal,7.35
SA Faja Cazcarra - Principal,3.57
SP Torla a Fanlo por los miradores del Molar y el barranco Borrué - Principal,14.97
SA Marboré - Principal,9.99
SA Marboré - Variante,0.29
SA Marboré - Variante,2.08
SA Marboré - Derivación,0.15
SP Valle Pineta Solana - Principal,11.72
SA Bestué - Principal,7.32
SA Bestué - Derivación,4.81
SA Foratarruego - Principal,7.45
SA Faja de las Flores - Principal,3.57
SP Puerto Bujaruelo - Principal,8.70
Enlace SP Puerto de Fanlo - SP Las Cutas - Enlace,1.38
SA Buerba a Vió - Principal,2.85
SP Miradores de Revilla - Principal,2.96
SA Fuentes del Yaga - Principal,2.04
SA Soaso a Góriz - Principal,3.31
SA Puerto de Lera - Principal,3.90
SA Turieto - Principal,7.64
SA Turieto - Variante,3.23
SP Sestrales - Principal,3.23
SA Carriata - Principal,9.13
SA Cuello Gordo - Principal,7.80
SA Cuello Gordo - Variante,0.21
SA Cuello Gordo - Variante,0.62
SIA San Úrbez al Molino de Aso - Principal,2.04
SA Arrablo - Principal,5.45
SP Fanlo a Sercué por Nerín - Principal,8.61
SA Faja Pelay - Principal,9.63
SA La Valle - Principal,10.09
SP Puerto de Buisán - Principal,5.47
SIA Parador de Ordesa - Principal,0.26
SP Lomar - Principal,8.73
SP Plana Canal - Principal,9.04
SA Tucarroya a Astazus - Principal,7.01
SA Tucarroya a Astazus - Derivación,0.12
SA Tucarroya a Astazus - Derivación,2.45
SIA La Larri por pista y ramal Cascadas de La Larri - Principal,4.08
SIA La Larri por pista y ramal Cascadas de La Larri - Derivación,1.18
SA Faja Tormosa - Principal,4.15
SA Bocera-Paraiso - Principal,7.48
SA Faja Canarellos - Principal,3.79
SIA Ermitas de Tella - Principal,1.65
SIA Ermitas de Tella - Derivación,0.18
SIA Ermitas de Tella - Derivación,0.23
SIA Ermitas de Tella - Derivación,0.06
SA Casa dero Puerto a la Estiva - Principal,5.78
SA Casa dero Puerto a la Estiva - Derivación,0.56
SA Faja de las Olas - Principal,5.90
SA Barranco Pardina - Principal,3.78
SP Bestué a Escuaín - Principal,6.63
SA Senda de los Cazadores - Principal,1.88
SP Selva Pochas - Principal,1.21
SA Cotatuero - Principal,8.29
SA Collado de Añisclo - Principal,6.36
SP Puerto de Fanlo - Principal,5.65
SA Sercué - Principal,3.19
SP Gallisué a Vió y Buerba - Principal,6.38
SP Gallisué a Vió y Buerba - Derivación,1.36
