idtaxon,nombre_comun,idioma,espreferente
6,Sabuco,Altoaragonés,0.0
6,Saúco,Castellano,0.0
6,Sabugo,Castellano,0.0
6,Sabuquero,Valenciano,0.0
6,Sauco,Castellano,0.0
6,Saúco canario,Castellano,0.0
6,Sabuco,Castellano,1.0
8,Gongarillo mayor de Jandía,Castellano,1.0
10,Estrella dorada,Castellano,0.0
10,Estrella peluda,Castellano,0.0
10,Gongarillo rojo,Castellano,1.0
11,Oro de risco,Castellano,0.0
11,Habas,Castellano,1.0
46,Margarza,Castellano,0.0
46,Magarsa,Castellano,0.0
46,Magarza,Castellano,0.0
46,Margalida,Valenciano,0.0
46,Marsaga,Castellano,0.0
46,Margaza,Gallego,0.0
46,Margarita,Castellano,0.0
46,Afirmadera,Castellano,0.0
46,Margarita borda,Catalán,0.0
46,Margarsa macha,Castellano,0.0
46,Magarza salvaje,Castellano,0.0
46,Margarsa,Castellano,0.0
46,Margarita de bolles,Mallorquín,0.0
46,Margarita de bola,Castellano,0.0
46,Marzaga,Castellano,0.0
46,Margarza macha,Castellano,0.0
46,Magarza de costa,Castellano,0.0
46,Margalides,Catalán,0.0
46,margarita de Canarias,Castellano,1.0
61,Artemisa,Castellano,0.0
61,Sándalo,Castellano,0.0
61,Cardo cristo,Castellano,0.0
61,Ajenjo,Castellano,0.0
61,Incensio salvaje,Castellano,0.0
61,Durazneros,Castellano,0.0
61,Insencio,Castellano,0.0
61,Amargoso,Castellano,0.0
61,Incienso canario,Castellano,0.0
61,Jara,Castellano,0.0
61,Temisa,Castellano,0.0
61,Incienso morisco,Castellano,0.0
61,Encensio,Castellano,0.0
61,Incienso,Castellano,0.0
61,Higuera,Castellano,0.0
61,Mol,Castellano,0.0
61,Incienso verde,Castellano,0.0
61,Incensio,Castellano,0.0
61,Ajenjo morisco,Castellano,0.0
61,Abrotano,Castellano,1.0
121,Bupleuro rifeño,Castellano,1.0
154,Manzanilla silvestre,Castellano,0.0
154,Clavellina,Castellano,0.0
154,Magarza fina,Castellano,0.0
154,Margarita,Castellano,0.0
154,Margaritas,Castellano,0.0
154,Clavellina blanca,Castellano,0.0
154,Magarza,Castellano,0.0
154,Manzanilla borriquera,Castellano,0.0
154,Manzanilla casera,Castellano,0.0
154,Manzanilla,Valenciano,0.0
154,Clavelina,Latín,0.0
154,Manzanilla casera,Castellano,1.0
159,Manzanilla pequeñita,Castellano,0.0
159,Magarza,Castellano,0.0
159,Manzanilla de altura,Castellano,0.0
159,Manzanilla brava,Castellano,0.0
159,Manzanilla campera,Castellano,0.0
159,Manzanilla dulce,Castellano,0.0
159,Magarza fina,Castellano,0.0
159,Manzanilla real,Castellano,0.0
159,Manzanilla de la sierra,Castellano,0.0
159,Manzanilla de campo,Castellano,0.0
159,Manzanilla del monte,Castellano,0.0
159,Manzanilla del moncayo,Castellano,0.0
159,Manzanilla amarga,Valenciano,0.0
159,Manzanilla verdadera,Castellano,0.0
159,Manzanilla de prao,Castellano,0.0
159,Margaritas,Castellano,0.0
159,Manzanilla de belate,Castellano,0.0
159,Manzaniella,Castellano,0.0
159,Manzanillón,Castellano,0.0
159,Manzanilla de aralar,Castellano,0.0
159,Manzanilla de/del campo,Castellano,0.0
159,Manzanilla romana,Valenciano,0.0
159,Manzanilla,Valenciano,0.0
159,Magarcela,Gallego,0.0
159,Mantzanilla,Euskera,0.0
159,Camomila,Euskera,0.0
159,Manzanilla del campo,Castellano,0.0
159,Manzanilla fina,Altoaragonés,0.0
159,Macela galega,Gallego,0.0
159,Macela,Gallego,0.0
159,Macela dourada,Gallego,0.0
159,Camamilla,Valenciano,0.0
159,bichilora,Euskera,0.0
159,Marcela,Gallego,0.0
159,Romana,Gallego,0.0
159,Mencenilla,Gallego,0.0
159,Margaza,Gallego,0.0
159,Camamilla romana,Mallorquín,0.0
159,Mantzalilea,Euskera,0.0
159,Manzanilla común,Castellano,0.0
159,Mantzalina,Euskera,0.0
159,Roman Chamomile,Inglés,0.0
159,Mansanilla,Euskera,0.0
159,Camomila romana,Gallego,0.0
159,Mantzalinille,Euskera,0.0
159,Kamamila,Euskera,0.0
159,Mantzanillea,Euskera,0.0
159,Manzanilla de urbasa,Euskera,0.0
159,Manzanilla común,Castellano,1.0
162,Camamillera blanca,Catalán,0.0
162,Macela,Gallego,0.0
162,Manzanilla que se cultiva,Castellano,0.0
162,Camamilla bona,Catalán,0.0
162,Manzanilla fina,Altoaragonés,0.0
162,Mazanilla,Gallego,0.0
162,Camamilla blanca,Catalán,0.0
162,bramaza,Gallego,0.0
162,Manzanilla silvestre,Castellano,0.0
162,Camamilla fina,Catalán,0.0
162,Manzanilla,Valenciano,0.0
162,Camamilla dolça,Mallorquín,0.0
162,Mantzanilla,Euskera,0.0
162,Manzanilla buena,Castellano,0.0
162,Camamilla,Valenciano,0.0
162,Camomila,Euskera,0.0
162,Larramilloa,Euskera,0.0
162,Manzanilla dulce,Castellano,0.0
162,Larramila,Euskera,0.0
162,Kamomilla,Euskera,0.0
162,Kamamila,Euskera,0.0
162,Manzanilla cultivada,Castellano,0.0
162,bicheleta,Euskera,0.0
162,Manzanilla común,Castellano,1.0
170,Jopo,Castellano,1.0
176,Coniza sumatrenca,Catalán,0.0
176,Zamarraga,Castellano,1.0
208,Crepis de Granada,Castellano,1.0
219,Olivarda fina,Castellano,0.0
219,Olivardó,Catalán,0.0
219,Paletosa,Castellano,0.0
219,Hierba matapurga,Castellano,0.0
219,Mosquerilla borde,Castellano,0.0
219,Hierba matapulgas,Castellano,0.0
219,Matapürga,Castellano,0.0
219,Matapulgas,Gallego,0.0
219,Àrnica,Mallorquín,0.0
219,olivardiña,Gallego,0.0
219,Olivardilla,Castellano,1.0
229,Clavellina,Castellano,0.0
229,Clavelito,Castellano,1.0
245,Zamárraga,Castellano,0.0
245,Erigeron de Sierra Nevada,Castellano,1.0
256,Tajinasta,Castellano,0.0
256,Tajinaste rosado,Castellano,0.0
256,Taginaste rosado,Castellano,1.0
325,ginestell doricnifoli,Catalán,0.0
325,Ginesta,Castellano,1.0
352,Tomillo yesquero,Castellano,0.0
352,Yerba yesquera,Castellano,0.0
352,Manzanilla bravia,Castellano,0.0
352,Siemprehuto,Castellano,0.0
352,Siemprevivas,Castellano,0.0
352,Manzanilla de la reina,Castellano,0.0
352,Humera,Castellano,0.0
352,Manzanilla dulce,Castellano,0.0
352,Manzanilla basta,Castellano,0.0
352,Yesca,Castellano,0.0
352,Manzanilla bravía,Castellano,0.0
352,Pericones,Castellano,0.0
352,Manzanilla borriquera,Castellano,0.0
352,Manzanilla calar,Castellano,0.0
352,Manzanilla del moncayo,Castellano,0.0
352,Manzanilla burrera,Castellano,0.0
352,Boja yesquera,Castellano,0.0
352,Tomillo churro,Castellano,0.0
352,Tomillo socarrinero,Castellano,0.0
352,Manzanilla real,Castellano,0.0
352,Manzanilla de roca,Castellano,0.0
352,Manzanilla silvestre,Castellano,0.0
352,Cardo heredero,Castellano,0.0
352,Manzanilla perpetua,Castellano,0.0
352,Manzanilla mala,Castellano,0.0
352,Tomillo bastardo,Castellano,0.0
