ID_Ruta,Nombre_Ruta,Nombre_etapa,Longitud,Descripcion,nombre_ingles,CCAA,Provincia
87,Camino Natural Vía Verde del Litoral,,"48,8813592775",,,Andalucía,Huelva
175,Camino Natural Vía Verde del Guadiana,Senda del embalse,"16,6982966982",,,Andalucía,Huelva
176,Camino Natural Vía Verde Entre Ríos,Tramo Entre Ríos,"8,93346591224",,,Andalucía,Cádiz
177,Camino Natural Vía Verde Entre Ríos,Tramo de Rota,"7,43090075836",,,Andalucía,Cádiz
211,Camino Natural del Guadiana,Etapa 41: Cuartel Cañaveral - Sanlúcar de Guadiana,"18,9502078688",,,Andalucía,Huelva
212,Camino Natural del Guadiana,Ramal El Granado,"4,69936833388",,,Andalucía,Huelva
213,Camino Natural del Guadiana,Etapa 42: Sanlúcar de Guadiana - San Silvestre de Guzmán,"25,0281987369",,,Andalucía,Huelva
214,Camino Natural del Guadiana,Etapa 43: San Silvestre de Guzmán - Villablanca,"22,5313467116",,,Andalucía,Huelva
215,Camino Natural del Guadiana,Etapa 44: Villablanca - Ayamonte,"20,2909821876",,,Andalucía,Huelva
228,Camino Natural Vía Verde de los Molinos del Agua,,"33,2728285815",,,Andalucía,Huelva
254,Camino Natural Vía Verde de La Campiña,,"54,1594609084",,,Andalucía,Sevilla
257,Camino Natural Vía Verde del Aceite,Tramo de la Subbética,"57,4295878573",,,Andalucía,Córdoba
263,Camino Natural Vía Verde del Aceite,Tramo Jaén - Río Guadajoz,"54,0673777195",,,Andalucía,"Córdoba, Jaén"
393,Camino Natural Vía Verde de la Sierra,,"36,0816421062",,,Andalucía,"Cádiz, Sevilla"
394,Camino Natural Vía Verde del ferocarril Guadix - Almendricos (Valle del Almanzora),Tramo: El Hijate - Olula del Río,"35,7425587774",,,Andalucía,Almería
395,Camino Natural Vía Verde del Aceite,Tramo Moriles - Campo Real,"7,89963342431",,,Andalucía,Córdoba
396,Camino Natural Vía Verde del Guadalimar,,"15,3792002381",,,Andalucía,Jaén
526,Camino Natural Vía Verde de Lucainena de las Torres a Agua Amarga,Tramo Vía Verde,"15,5204241349",,,Andalucía,Almería
529,Camino Natural Vía Verde de Segura,,"27,1976042059",,,Andalucía,Jaén
599,Camino Natural Vía Verde del Guadiato,,"6,9357406331",,,Andalucía,Córdoba
613,Camino Natural Vía Verde del ferrocarril Guadix - Almendricos (Valle del Almanzora),Tramo: Fines - Arboleas,"21,2051704956",,,Andalucía,Almería
