ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
87,Camino Natural Vía Verde del Litoral,,Camino Natural Vía Verde del Litoral ,"48,8813592775",Itinerario principal,,,,Andalucía,Huelva
175,Camino Natural Vía Verde del Guadiana,Senda del embalse,Camino Natural Vía Verde del Guadiana Senda del embalse,"16,6982966982",Itinerario principal,,,,Andalucía,Huelva
176,Camino Natural Vía Verde Entre Ríos,Tramo Entre Ríos,Camino Natural Vía Verde Entre Ríos Tramo Entre Ríos,"8,93346591224",CN por etapas (2),,,,Andalucía,Cádiz
177,Camino Natural Vía Verde Entre Ríos,Tramo de Rota,Camino Natural Vía Verde Entre Ríos Tramo de Rota,"7,43090075836",CN por etapas (2),,,,Andalucía,Cádiz
211,Camino Natural del Guadiana,Etapa 41: Cuartel Cañaveral - Sanlúcar de Guadiana,Camino Natural del Guadiana Etapa 41: Cuartel Cañaveral - Sanlúcar de Guadiana,"18,9502078688",CN por etapas (44),,,,Andalucía,Huelva
212,Camino Natural del Guadiana,Ramal El Granado,Camino Natural del Guadiana Ramal El Granado,"4,69936833388",CN por etapas (44),,,,Andalucía,Huelva
213,Camino Natural del Guadiana,Etapa 42: Sanlúcar de Guadiana - San Silvestre de Guzmán,Camino Natural del Guadiana Etapa 42: Sanlúcar de Guadiana - San Silvestre de Guzmán,"25,0281987369",CN por etapas (44),,,,Andalucía,Huelva
214,Camino Natural del Guadiana,Etapa 43: San Silvestre de Guzmán - Villablanca,Camino Natural del Guadiana Etapa 43: San Silvestre de Guzmán - Villablanca,"22,5313467116",CN por etapas (44),,,,Andalucía,Huelva
215,Camino Natural del Guadiana,Etapa 44: Villablanca - Ayamonte,Camino Natural del Guadiana Etapa 44: Villablanca - Ayamonte,"20,2909821876",CN por etapas (44),,,,Andalucía,Huelva
228,Camino Natural Vía Verde de los Molinos del Agua,,Camino Natural Vía Verde de los Molinos del Agua ,"33,2728285815",Itinerario principal,,,,Andalucía,Huelva
254,Camino Natural Vía Verde de La Campiña,,Camino Natural Vía Verde de La Campiña ,"54,1594609084",Itinerario principal,,,,Andalucía,Sevilla
257,Camino Natural Vía Verde del Aceite,Tramo de la Subbética,Camino Natural Vía Verde del Aceite Tramo de la Subbética,"57,4295878573",CN por etapas (3),,,,Andalucía,Córdoba
263,Camino Natural Vía Verde del Aceite,Tramo Jaén - Río Guadajoz,Camino Natural Vía Verde del Aceite Tramo Jaén - Río Guadajoz,"54,0673777195",CN por etapas (3),,,,Andalucía,"Córdoba, Jaén"
393,Camino Natural Vía Verde de la Sierra,,Camino Natural Vía Verde de la Sierra ,"36,0816421062",Itinerario principal,,,,Andalucía,"Cádiz, Sevilla"
394,Camino Natural Vía Verde del ferocarril Guadix - Almendricos (Valle del Almanzora),Tramo: El Hijate - Olula del Río,Camino Natural Vía Verde del ferocarril Guadix - Almendricos (Valle del Almanzora) Tramo: El Hijate - Olula del Río,"35,7425587774",CN por tramos (2),,,,Andalucía,Almería
395,Camino Natural Vía Verde del Aceite,Tramo Moriles - Campo Real,Camino Natural Vía Verde del Aceite Tramo Moriles - Campo Real,"7,89963342431",CN por etapas (3),,,,Andalucía,Córdoba
396,Camino Natural Vía Verde del Guadalimar,,Camino Natural Vía Verde del Guadalimar ,"15,3792002381",Itinerario principal,,,,Andalucía,Jaén
526,Camino Natural Vía Verde de Lucainena de las Torres a Agua Amarga,Tramo Vía Verde,Camino Natural Vía Verde de Lucainena de las Torres a Agua Amarga Tramo Vía Verde,"15,5204241349",Itinerario principal,,,,Andalucía,Almería
529,Camino Natural Vía Verde de Segura,,Camino Natural Vía Verde de Segura ,"27,1976042059",Itinerario principal,,,,Andalucía,Jaén
599,Camino Natural Vía Verde del Guadiato,,Camino Natural Vía Verde del Guadiato ,"6,9357406331",Itinerario principal,,,,Andalucía,Córdoba
613,Camino Natural Vía Verde del ferrocarril Guadix - Almendricos (Valle del Almanzora),Tramo: Fines - Arboleas,Camino Natural Vía Verde del ferrocarril Guadix - Almendricos (Valle del Almanzora) Tramo: Fines - Arboleas,"21,2051704956",CN por tramos (2),,,,Andalucía,Almería
837,La Rocina - Principal,,La Rocina - Principal ,,,"<center><table><tr><th colspan='2' align='center'><em>Atributos</em></th></tr><tr bgcolor=""#E3E3F3""> <th>Parque Nacional</th> <td>Doñana</td> </tr><tr bgcolor=""""> <th>Nombre</th> <td>La Rocina</td> </tr><tr bgcolor=""#E3E3F3""> <th>Número</th> <td>PR-PND2</td> </tr><tr bgcolor=""""> <th>Tipo</th> <td>Principal</td> </tr><tr bgcolor=""#E3E3F3""> <th>Sentido</th> <td>Ida y vuelta</td> </tr><tr bgcolor=""""> <th>Dificultad</th> <td>Baja</td> </tr><tr bgcolor=""#E3E3F3""> <th>Duración (h)</th> <td>1</td> </tr><tr bgcolor=""""> <th>Longitud (km)</th> <td>3.7</td> </tr><tr bgcolor=""#E3E3F3""> <th>Recomendaciones</th> <td>Ninguna en especial.</td> </tr><tr bgcolor=""""> <th>Descripción</th> <td>Se localiza en la Zona de Protección del Arroyo de la Rocina, que ocupa una extensión aproximada de 1.200 ha, dentro del término municipal de Almonte (Huelva), al borde de la carretera A-483 y a unos tres kilómetros de la aldea del Rocío. Este centro cuenta con: punto de información, sala de audiovisuales, sala de exposiciones, senderos peatonales y observatorios. Junto al Centro se ubica la vivienda destinada al guarda de la zona. El audiovisual «Bosques de la Rocina» tiene una duración aproximada de unos 15 minutos y ofrece información sobre el Parque Nacional en general y sobre la Rocina en particular. De esta forma introduce al espectador en el mundo de estos bosques a través de su historia y hechos que acontecen en el mismo. En la pequeña choza se ha ubicado una exposición que interpreta para el visitante aspectos de la vida cotidiana y familiar de los habitantes de la zona, así como otros referentes a la Romería del Rocío y a las Hermandades que acuden cada año a la ermita para dar culto a la Patrona de Almonte. El sendero peatonal «Charco de la Boca» discurre por la margen derecha del arroyo y tiene una extensión aproximada de tres kilómetros, que se encuentran totalmente entablados permitiendo de esta forma dar un cómodo paseo por estos parajes. A lo largo del sendero se han dispuesto, áreas de descanso, observatorios que miran al arroyo y una serie de pasarelas que permiten cruzar las localmente conocidas «algaidas», topónimo que hace referencia a los «caños provistos de abundante vegetación», y en las que el visitante se verá conducido, a su paso por ellas, por muros naturales de zarzas y carrizos. Los distintos circuitos que describe el sendero permiten el cruce de dos de estas algaidas, la del Carrizal y la del Meloncillo. El arroyo de la Rocina y los charcos que lo forman mantiene una gran dependencia del acuífero y de los aportes de las lluvias, de esta forma, durante el estío, el nivel de sus aguas decrece incluso puede llegar a desaparecer totalmente, para empezar a correr de nuevo con las primeras lluvias que recargan el manto freático, haciendo que se desborde arroyo arriba. La Rocina constituye actualmente uno de los aportes fundamentales con los que cuenta la marisma y a la que vierte sus aguas a través de la Canaliega. Desde los observatorios que se disponen junto al arroyo se pueden observar, dependiendo de la época del año, numerosos representantes de la avifauna de Doñana como: ánades azulones, porrones, fochas, calamones, zampullines, cigüeñas, garzas, espátulas, moritos…No es difícil ver sobrevolando el territorio distintas especies de rapaces. La vegetación de la zona es típica de matorral, y entre la de tipo arbóreo destaca, como en el resto de la zona, el pino piñonero, pero también en algunos tramos del recorrido acebuches y alcornoques. Recientemente en la algaida del carrizal se han llevado a cabo trabajos de repoblación de alcornoques con participación de escolares del entorno de Doñana. Con esta iniciativa se pretende que las comunidades locales y sobre todo sus representantes más jóvenes tomen conciencia y participen en actuaciones encaminadas a la conservación y mejora del territorio.</td> </tr></table></center>",,,Andalucía,Huelva
