ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
251,Camino Natural del Agua Soriano. Camino Antonino,Etapa 5: Vozmediano - Tarazona (itinerario senderista),Camino Natural del Agua Soriano. Camino Antonino Etapa 5: Vozmediano - Tarazona (itinerario senderista),"18,0006183867",CN por etapas (6),,,,Aragón,Zaragoza
255,Camino Natural del Santander - Mediterráneo,Tramo Término municipal de Calatayud,Camino Natural del Santander - Mediterráneo Tramo Término municipal de Calatayud,"13,2789960183",CN por tramos (15),,,,Aragón,Zaragoza
340,Camino Natural del embalse de Lanuza,,Camino Natural del embalse de Lanuza ,"3,06803887371",Itinerario principal,,,,Aragón,Huesca
341,Camino Natural de Pedro Saputo,,Camino Natural de Pedro Saputo ,"25,9634034137",Itinerario principal,,,,Aragón,Huesca
342,Camino Natural de Castejón de Monegros,Recorrido circular,Camino Natural de Castejón de Monegros Recorrido circular,"9,1412798683",CN por etapas (2),,,,Aragón,Huesca
343,Camino Natural de Castejón de Monegros,Recorrido a la Fuente Madre,Camino Natural de Castejón de Monegros Recorrido a la Fuente Madre,"1,75742001903",CN por etapas (2),,,,Aragón,"Huesca, Zaragoza"
344,Camino Natural del río Guadalaviar,Itinerario principal,Camino Natural del río Guadalaviar Itinerario principal,"3,15958615143",Itinerario principal con ramales,,,,Aragón,Teruel
345,Camino Natural del río Guadalaviar,Tramo superior. Vista panorámica,Camino Natural del río Guadalaviar Tramo superior. Vista panorámica,"1,3474430008",Itinerario principal con ramales,,,,Aragón,Teruel
346,Camino Natural del río Guadalaviar,Ramal Fuente de la señorita,Camino Natural del río Guadalaviar Ramal Fuente de la señorita,"0,05816108718",Itinerario principal con ramales,,,,Aragón,Teruel
348,Camino Natural del Somontano de Barbastro,Etapa 3: Las Almunias - Salto de Bierge,Camino Natural del Somontano de Barbastro Etapa 3: Las Almunias - Salto de Bierge,"18,8674173786",CN por etapas (3),,,,Aragón,Huesca
372,Camino Natural de la Hoya de Huesca,Etapa 1: Agüero - Riglos,Camino Natural de la Hoya de Huesca Etapa 1: Agüero - Riglos,"9,00828549219",CN por etapas (8),,,,Aragón,"Huesca, Zaragoza"
373,Camino Natural de la Hoya de Huesca,Etapa 1.1: Ramal Iglesia de San Salvador,Camino Natural de la Hoya de Huesca Etapa 1.1: Ramal Iglesia de San Salvador,"0,08989354415",CN por etapas (8),,,,Aragón,"Huesca, Zaragoza"
374,Camino Natural de la Hoya de Huesca,Etapa 2: Riglos - Loarre,Camino Natural de la Hoya de Huesca Etapa 2: Riglos - Loarre,"15,2405397251",CN por etapas (8),,,,Aragón,Huesca
375,Camino Natural de la Hoya de Huesca,Etapa 2.1: Ramal ermita de la Virgen de Marcuello,Camino Natural de la Hoya de Huesca Etapa 2.1: Ramal ermita de la Virgen de Marcuello,"0,42495834953",CN por etapas (8),,,,Aragón,Huesca
376,Camino Natural de la Hoya de Huesca,Etapa 4: Bolea - Arguis,Camino Natural de la Hoya de Huesca Etapa 4: Bolea - Arguis,"18,5938523982",CN por etapas (8),,,,Aragón,Huesca
377,Camino Natural de la Hoya de Huesca,Etapa 4.1: Alternativa ermita de la Trinidad,Camino Natural de la Hoya de Huesca Etapa 4.1: Alternativa ermita de la Trinidad,"0,33588249967",CN por etapas (8),,,,Aragón,Huesca
378,Camino Natural de la Hoya de Huesca,Etapa 4.2: Ruta circular por Bolea,Camino Natural de la Hoya de Huesca Etapa 4.2: Ruta circular por Bolea,"0,98824201779",CN por etapas (8),,,,Aragón,Huesca
379,Camino Natural de la Hoya de Huesca,Etapa 5: Arguis - Nocito,Camino Natural de la Hoya de Huesca Etapa 5: Arguis - Nocito,"19,3476792329",CN por etapas (8),,,,Aragón,Huesca
380,Camino Natural de la Hoya de Huesca,Etapa 5.1: Ramal Ermita Soldevilla,Camino Natural de la Hoya de Huesca Etapa 5.1: Ramal Ermita Soldevilla,"1,08837863116",CN por etapas (8),,,,Aragón,Huesca
381,Camino Natural de la Hoya de Huesca,Etapa 6: Nocito - Santa Eulalia la Mayor,Camino Natural de la Hoya de Huesca Etapa 6: Nocito - Santa Eulalia la Mayor,"20,5147801173",CN por etapas (8),,,,Aragón,Huesca
382,Camino Natural de la Hoya de Huesca,Etapa 6.2: Ramal ermita Virgen de Sescún.,Camino Natural de la Hoya de Huesca Etapa 6.2: Ramal ermita Virgen de Sescún.,"0,12454889069",CN por etapas (8),,,,Aragón,Huesca
383,Camino Natural de la Hoya de Huesca,Etapa 6.1: Alternativa por barrio de San Pedro,Camino Natural de la Hoya de Huesca Etapa 6.1: Alternativa por barrio de San Pedro,"0,95791410294",CN por etapas (8),,,,Aragón,Huesca
384,Camino Natural de la Hoya de Huesca,Etapa 7: Santa Eulalia la Mayor - Casbas,Camino Natural de la Hoya de Huesca Etapa 7: Santa Eulalia la Mayor - Casbas,"25,2103084083",CN por etapas (8),,,,Aragón,Huesca
385,Camino Natural de la Hoya de Huesca,Etapa 7.1: Alternativa Ermita de la Virgen del Viñedo.,Camino Natural de la Hoya de Huesca Etapa 7.1: Alternativa Ermita de la Virgen del Viñedo.,"1,04528630293",CN por etapas (8),,,,Aragón,Huesca
386,Camino Natural de la Hoya de Huesca,Etapa 8: Casbas - Bierge,Camino Natural de la Hoya de Huesca Etapa 8: Casbas - Bierge,"8,53427923701",CN por etapas (8),,,,Aragón,Huesca
387,Camino Natural de Loreto y el Canfranero,Itinerario principal,Camino Natural de Loreto y el Canfranero Itinerario principal,"9,9960346253",Itinerario principal con ramales,,,,Aragón,Huesca
388,Camino Natural de Loreto y el Canfranero,Ramal de Alerre,Camino Natural de Loreto y el Canfranero Ramal de Alerre,"2,3569152703",Itinerario principal con ramales,,,,Aragón,Huesca
454,Camino Natural del Tajo,Etapa 1: Albarracín - Villar del Cobo (itinerario senderista),Camino Natural del Tajo Etapa 1: Albarracín - Villar del Cobo (itinerario senderista),"33,4945093404",CN por etapas (43),,,,Aragón,Teruel
455,Camino Natural del Tajo,Ramal Etapa 1 (itinerario senderista),Camino Natural del Tajo Ramal Etapa 1 (itinerario senderista),"0,35785558051",CN por etapas (43),,,,Aragón,Teruel
497,Camino Natural de Loreto y el Canfranero,Ramal de la Alberca de Loreto,Camino Natural de Loreto y el Canfranero Ramal de la Alberca de Loreto,"3,4455084155",Itinerario principal con ramales,,,,Aragón,Huesca
518,Camino Natural del Somontano de Barbastro,Etapa 2: Alquézar - Las Almunias,Camino Natural del Somontano de Barbastro Etapa 2: Alquézar - Las Almunias,"20,1998174167",CN por etapas (3),,,,Aragón,Huesca
519,Camino Natural del Somontano de Barbastro,Ramal Ermita de la Virgen de la Viña,Camino Natural del Somontano de Barbastro Ramal Ermita de la Virgen de la Viña,"0,88157522482",CN por etapas (3),,,,Aragón,Huesca
544,Camino Natural del Ebro,Etapa 30: Sástago - Escatrón,Camino Natural del Ebro Etapa 30: Sástago - Escatrón,"20,2945072347",CN por etapas (60),,,,Aragón,"Teruel, Zaragoza"
545,Camino Natural del Ebro,Etapa 29.1: Alborge-Sástago,Camino Natural del Ebro Etapa 29.1: Alborge-Sástago,"7,38822544143",CN por etapas (60),,,,Aragón,"Teruel, Zaragoza"
546,Camino Natural del Ebro,Etapa 29: Velilla de Ebro - Sástago,Camino Natural del Ebro Etapa 29: Velilla de Ebro - Sástago,"18,3123922932",CN por etapas (60),,,,Aragón,"Teruel, Zaragoza"
549,Camino Natural del Ebro,Etapa 32: Chiprana - Caspe,Camino Natural del Ebro Etapa 32: Chiprana - Caspe,"9,73004954855",CN por etapas (60),,,,Aragón,"Teruel, Zaragoza"
550,Camino Natural del Ebro,Etapa 31.1: Ramal Saladas de Chiprana,Camino Natural del Ebro Etapa 31.1: Ramal Saladas de Chiprana,"0,33589742976",CN por etapas (60),,,,Aragón,"Teruel, Zaragoza"
551,Camino Natural del Ebro,Etapa 31: Escatrón - Chiprana,Camino Natural del Ebro Etapa 31: Escatrón - Chiprana,"32,5544804984",CN por etapas (60),,,,Aragón,"Teruel, Zaragoza"
