ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
256,Camino Natural Vía Verde de la sierra de Alcaraz,Tramo El Jardín a Santuario de Cortés,Camino Natural Vía Verde de la sierra de Alcaraz Tramo El Jardín a Santuario de Cortés,"25,8383403116",CN por tramos (4),,,,Castilla-La Mancha,Albacete
268,Camino Natural Vía Verde del Trenillo. Villacañas a Quintanar,,Camino Natural Vía Verde del Trenillo. Villacañas a Quintanar ,"28,1429037389",Itinerario principal,,,,Castilla-La Mancha,Toledo
278,Camino Natural de los Humedales de La Mancha,Etapa 1: Villacañas - Quero (itinerario senderista),Camino Natural de los Humedales de La Mancha Etapa 1: Villacañas - Quero (itinerario senderista),"26,8230959395",CN por etapas (5),,,,Castilla-La Mancha,Toledo
279,Camino Natural de los Humedales de La Mancha,Ramal de la Laguna Larga (itinerario senderista),Camino Natural de los Humedales de La Mancha Ramal de la Laguna Larga (itinerario senderista),"0,90910782421",CN por etapas (5),,,,Castilla-La Mancha,Toledo
280,Camino Natural de los Humedales de La Mancha,Etapa 2: Quero - Villafranca de los Caballeros (itinerario senderista),Camino Natural de los Humedales de La Mancha Etapa 2: Quero - Villafranca de los Caballeros (itinerario senderista),"14,1343767333",CN por etapas (5),,,,Castilla-La Mancha,"Ciudad Real, Toledo"
281,Camino Natural de los Humedales de La Mancha,Etapa 3: Villafranca de los Caballeros - Alcázar de San Juan (itinerario senderista),Camino Natural de los Humedales de La Mancha Etapa 3: Villafranca de los Caballeros - Alcázar de San Juan (itinerario senderista),"18,9011733203",CN por etapas (5),,,,Castilla-La Mancha,Ciudad Real
282,Camino Natural de los Humedales de La Mancha,Ramal de la Junta de los Ríos (itinerario senderista),Camino Natural de los Humedales de La Mancha Ramal de la Junta de los Ríos (itinerario senderista),"15,2815328046",CN por etapas (5),,,,Castilla-La Mancha,Ciudad Real
283,Camino Natural de los Humedales de La Mancha,Etapa 4: Alcázar de San Juan - Pedro Muñoz (itinerario senderista),Camino Natural de los Humedales de La Mancha Etapa 4: Alcázar de San Juan - Pedro Muñoz (itinerario senderista),"29,3169645099",CN por etapas (5),,,,Castilla-La Mancha,Ciudad Real
284,Camino Natural de los Humedales de La Mancha,Ramal de la Laguna del Pueblo (itinerario senderista),Camino Natural de los Humedales de La Mancha Ramal de la Laguna del Pueblo (itinerario senderista),"3,11756192902",CN por etapas (5),,,,Castilla-La Mancha,"Ciudad Real, Cuenca, Toledo"
285,Camino Natural de los Humedales de La Mancha,Ramal de la Ermita de San Isidro (itinerario senderista),Camino Natural de los Humedales de La Mancha Ramal de la Ermita de San Isidro (itinerario senderista),"2,36107023719",CN por etapas (5),,,,Castilla-La Mancha,"Ciudad Real, Cuenca, Toledo"
286,Camino Natural de los Humedales de La Mancha,Etapa 5: Pedro Muñoz - Las Mesas (itinerario senderista),Camino Natural de los Humedales de La Mancha Etapa 5: Pedro Muñoz - Las Mesas (itinerario senderista),"17,9454656679",CN por etapas (5),,,,Castilla-La Mancha,"Albacete, Ciudad Real, Cuenca"
287,Camino Natural de los Humedales de La Mancha,Ramal del Complejo Lagunar de Manjavacas (itinerario senderista),Camino Natural de los Humedales de La Mancha Ramal del Complejo Lagunar de Manjavacas (itinerario senderista),"14,9262693134",CN por etapas (5),,,,Castilla-La Mancha,Cuenca
288,Camino Natural de los Humedales de La Mancha,Ramal de la Laguna del Taray Chico (itinerario senderista),Camino Natural de los Humedales de La Mancha Ramal de la Laguna del Taray Chico (itinerario senderista),"5,16485608844",CN por etapas (5),,,,Castilla-La Mancha,Cuenca
420,Camino Natural del Guadiana,Etapa 1: Laguna Blanca - Ruidera,Camino Natural del Guadiana Etapa 1: Laguna Blanca - Ruidera,"12,358054057",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
421,Camino Natural del Guadiana,Etapa 2: Ruidera - Argamasilla de Alba,Camino Natural del Guadiana Etapa 2: Ruidera - Argamasilla de Alba,"31,0253910488",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
422,Camino Natural del Guadiana,Etapa 3: Argamasilla de Alba - Alameda de Cervera,Camino Natural del Guadiana Etapa 3: Argamasilla de Alba - Alameda de Cervera,"17,890145559",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
423,Camino Natural del Guadiana,Etapa 4: Alameda de Cervera - Villarta de San Juan,Camino Natural del Guadiana Etapa 4: Alameda de Cervera - Villarta de San Juan,"37,9321398244",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
424,Camino Natural del Guadiana,Etapa 5: Villarta de San Juan - Villarrubia de los Ojos,Camino Natural del Guadiana Etapa 5: Villarta de San Juan - Villarrubia de los Ojos,"20,1484120948",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
425,Camino Natural del Guadiana,Etapa 6: Villarrubia de los Ojos - Santuario de la Encarnación,Camino Natural del Guadiana Etapa 6: Villarrubia de los Ojos - Santuario de la Encarnación,"28,8411143192",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
426,Camino Natural del Guadiana,Etapa 7: Santuario de la Encarnación - Peralvillo,Camino Natural del Guadiana Etapa 7: Santuario de la Encarnación - Peralvillo,"14,1781435281",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
427,Camino Natural del Guadiana,Ramal  Malagón,Camino Natural del Guadiana Ramal  Malagón,"9,09817069912",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
428,Camino Natural del Guadiana,Alternativa etapa 7,Camino Natural del Guadiana Alternativa etapa 7,"1,22462603924",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
429,Camino Natural del Guadiana,Etapa 8: Peralvillo - Las Casas,Camino Natural del Guadiana Etapa 8: Peralvillo - Las Casas,"21,3990826151",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
430,Camino Natural del Guadiana,Etapa 9: Las Casas - Valverde,Camino Natural del Guadiana Etapa 9: Las Casas - Valverde,"15,9665250418",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
431,Camino Natural del Guadiana,Ramal a Laguna La Posadilla,Camino Natural del Guadiana Ramal a Laguna La Posadilla,"2,74372329048",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
432,Camino Natural del Guadiana,Etapa 10: Valverde - Corral de Calatrava,Camino Natural del Guadiana Etapa 10: Valverde - Corral de Calatrava,"19,7675663262",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
433,Camino Natural del Guadiana,Etapa 11: Corral de Calatrava - Los Pozuelos de Calatrava,Camino Natural del Guadiana Etapa 11: Corral de Calatrava - Los Pozuelos de Calatrava,"14,0533649125",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
434,Camino Natural del Guadiana,Etapa 12: Los Pozuelos de Calatrava - Luciana,Camino Natural del Guadiana Etapa 12: Los Pozuelos de Calatrava - Luciana,"20,2628332885",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
435,Camino Natural del Guadiana,Etapa 13: Luciana - Albergue juvenil Puente de Retama,Camino Natural del Guadiana Etapa 13: Luciana - Albergue juvenil Puente de Retama,"10,9349863711",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
436,Camino Natural del Guadiana,Etapa 14: Albergue juvenil Puente de Retama - Puebla de Don Rodrigo,Camino Natural del Guadiana Etapa 14: Albergue juvenil Puente de Retama - Puebla de Don Rodrigo,"17,9528763746",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
437,Camino Natural del Guadiana,Etapa 15: Puebla de Don Rodrigo - Refugio de Valhondillo,Camino Natural del Guadiana Etapa 15: Puebla de Don Rodrigo - Refugio de Valhondillo,"17,166059833",CN por etapas (44),,,,Castilla-La Mancha,Ciudad Real
457,Camino Natural del Tajo,Etapa 3: Ermita de San Lorenzo - Peralejos de las Truchas (itinerario senderista),Camino Natural del Tajo Etapa 3: Ermita de San Lorenzo - Peralejos de las Truchas (itinerario senderista),"23,2258945",CN por etapas (43),,,,Castilla-La Mancha,"Cuenca, Guadalajara"
458,Camino Natural del Tajo,Etapa 5: Poveda de la Sierra - Zaorejas (itinerario senderista),Camino Natural del Tajo Etapa 5: Poveda de la Sierra - Zaorejas (itinerario senderista),"34,2160074903",CN por etapas (43),,,,Castilla-La Mancha,"Cuenca, Guadalajara"
459,Camino Natural del Tajo,Etapa 6: Zaorejas - Villar de Cobeta (itinerario senderista),Camino Natural del Tajo Etapa 6: Zaorejas - Villar de Cobeta (itinerario senderista),"17,00306307",CN por etapas (43),,,,Castilla-La Mancha,Guadalajara
460,Camino Natural del Tajo,Etapa 7: Villar de Cobeta - Huertapelayo (itinerario senderista),Camino Natural del Tajo Etapa 7: Villar de Cobeta - Huertapelayo (itinerario senderista),"18,8545940926",CN por etapas (43),,,,Castilla-La Mancha,Guadalajara
461,Camino Natural del Tajo,Etapa 8: Huertapelayo - Valtablado del Río (itinerario senderista),Camino Natural del Tajo Etapa 8: Huertapelayo - Valtablado del Río (itinerario senderista),"24,1916604258",CN por etapas (43),,,,Castilla-La Mancha,Guadalajara
462,Camino Natural del Tajo,Etapa 9: Valtablado del Río - Trillo (itinerario senderista),Camino Natural del Tajo Etapa 9: Valtablado del Río - Trillo (itinerario senderista),"28,5206764433",CN por etapas (43),,,,Castilla-La Mancha,Guadalajara
463,Camino Natural del Tajo,Etapa 10: Trillo - Mantiel,Camino Natural del Tajo Etapa 10: Trillo - Mantiel,"30,2741407252",CN por etapas (43),,,,Castilla-La Mancha,Guadalajara
464,Camino Natural del Tajo,Etapa 11: Mantiel - Alocén,Camino Natural del Tajo Etapa 11: Mantiel - Alocén,"12,4354273257",CN por etapas (43),,,,Castilla-La Mancha,Guadalajara
465,Camino Natural del Tajo,Etapa 12: Alocén - Sacedón,Camino Natural del Tajo Etapa 12: Alocén - Sacedón,"21,8312679598",CN por etapas (43),,,,Castilla-La Mancha,Guadalajara
466,Camino Natural del Tajo,Etapa 13: Sacedón - Sayatón,Camino Natural del Tajo Etapa 13: Sacedón - Sayatón,"21,5373062124",CN por etapas (43),,,,Castilla-La Mancha,"Cuenca, Guadalajara"
467,Camino Natural del Tajo,Etapa 14: Sayatón - Zorita de los Canes,Camino Natural del Tajo Etapa 14: Sayatón - Zorita de los Canes,"12,817640811",CN por etapas (43),,,,Castilla-La Mancha,"Cuenca, Guadalajara"
468,Camino Natural del Tajo,Ramal Etapa 14,Camino Natural del Tajo Ramal Etapa 14,"2,68113354633",CN por etapas (43),,,,Castilla-La Mancha,"Cuenca, Guadalajara"
469,Camino Natural del Tajo,Etapa 15: Zorita de los Canes - Almoguera,Camino Natural del Tajo Etapa 15: Zorita de los Canes - Almoguera,"18,7799335378",CN por etapas (43),,,,Castilla-La Mancha,"Cuenca, Guadalajara"
470,Camino Natural del Tajo,Ramal Etapa 15,Camino Natural del Tajo Ramal Etapa 15,"4,31605428097",CN por etapas (43),,,,Castilla-La Mancha,"Cuenca, Guadalajara"
475,Camino Natural del Tajo,Etapa 22: Toledo - Albarreal de Tajo,Camino Natural del Tajo Etapa 22: Toledo - Albarreal de Tajo,"20,1349993933",CN por etapas (43),,,,Castilla-La Mancha,Toledo
476,Camino Natural del Tajo,Etapa 23: Albarreal de Tajo - Puebla de Montalbán,Camino Natural del Tajo Etapa 23: Albarreal de Tajo - Puebla de Montalbán,"24,8338701051",CN por etapas (43),,,,Castilla-La Mancha,Toledo
477,Camino Natural del Tajo,Etapa 24: Puebla de Montalbán - Malpica de Tajo,Camino Natural del Tajo Etapa 24: Puebla de Montalbán - Malpica de Tajo,"29,6772067328",CN por etapas (43),,,,Castilla-La Mancha,Toledo
478,Camino Natural del Tajo,Ramal Etapa 26,Camino Natural del Tajo Ramal Etapa 26,"2,22771994211",CN por etapas (43),,,,Castilla-La Mancha,Toledo
479,Camino Natural del Tajo,Etapa 27: Calera y Chozas - Aldeanueva de Barbarroya,Camino Natural del Tajo Etapa 27: Calera y Chozas - Aldeanueva de Barbarroya,"19,3182497098",CN por etapas (43),,,,Castilla-La Mancha,Toledo
