ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
85,Camino Natural de la Ruta de la Conquista,(itinerario senderista),Camino Natural de la Ruta de la Conquista (itinerario senderista),"21,987819494",Itinerario principal,,,,Castilla y León,León
110,Camino Natural de la Mirada Circular: Ancares Leoneses de Guimará a Balboa,Etapa 1: Guímara - Pereda de Ancares (itinerario senderista),Camino Natural de la Mirada Circular: Ancares Leoneses de Guimará a Balboa Etapa 1: Guímara - Pereda de Ancares (itinerario senderista),"19,1465081636",CN por etapas (4),,,,Castilla y León,León
111,Camino Natural de la Mirada Circular: Ancares Leoneses de Guimará a Balboa,Etapa 2: Pereda de Ancares - Burbia (itinerario senderista),Camino Natural de la Mirada Circular: Ancares Leoneses de Guimará a Balboa Etapa 2: Pereda de Ancares - Burbia (itinerario senderista),"11,5846284909",CN por etapas (4),,,,Castilla y León,León
115,Camino Natural de Cacabelos - Quilós,,Camino Natural de Cacabelos - Quilós ,"4,29399094122",Itinerario principal,,,,Castilla y León,León
141,Camino Natural Senda del Duero,Etapa 21: Moral de Sayago - Villadepera,Camino Natural Senda del Duero Etapa 21: Moral de Sayago - Villadepera,"13,7108613763",CN por etapas (42),,,,Castilla y León,Zamora
142,Camino Natural Senda del Duero,Etapa 23: Villardiegua de la Ribera - Torregamones,Camino Natural Senda del Duero Etapa 23: Villardiegua de la Ribera - Torregamones,"12,0101135169",CN por etapas (42),,,,Castilla y León,Zamora
143,Camino Natural Senda del Duero,Etapa 25: Gamones - Badilla,Camino Natural Senda del Duero Etapa 25: Gamones - Badilla,"8,2586615334",CN por etapas (42),,,,Castilla y León,Zamora
144,Camino Natural Senda del Duero,Etapa 26: Badilla - Cozcurrita,Camino Natural Senda del Duero Etapa 26: Badilla - Cozcurrita,"3,70916593476",CN por etapas (42),,,,Castilla y León,Zamora
145,Camino Natural Senda del Duero,Etapa 24: Torregamones - Gamones,Camino Natural Senda del Duero Etapa 24: Torregamones - Gamones,"3,18538195037",CN por etapas (42),,,,Castilla y León,Zamora
146,Camino Natural Senda del Duero,Etapa 22: Villadepera - Villardiegua de la Ribera,Camino Natural Senda del Duero Etapa 22: Villadepera - Villardiegua de la Ribera,"8,80901390813",CN por etapas (42),,,,Castilla y León,Zamora
