ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
259,Camino Natural Vía Verde del Plazaola,Tramo: Estación de Plazaola - Estación de Lekunberri,Camino Natural Vía Verde del Plazaola Tramo: Estación de Plazaola - Estación de Lekunberri,"19,6608154578",CN por tramos (6),,,,Comunidad Foral de Navarra,Navarra
260,Camino Natural Vía Verde del Plazaola,Tramo: Estación de Lekunberri - Mugiro - Área de Descanso San Migeltxo,Camino Natural Vía Verde del Plazaola Tramo: Estación de Lekunberri - Mugiro - Área de Descanso San Migeltxo,"5,88486228237",CN por tramos (6),,,,Comunidad Foral de Navarra,Navarra
261,Camino Natural Vía Verde del Plazaola,Tramo: Área de Descanso San Migeltxo - Área de Descanso Kaxarna,Camino Natural Vía Verde del Plazaola Tramo: Área de Descanso San Migeltxo - Área de Descanso Kaxarna,"6,34960254037",CN por tramos (6),,,,Comunidad Foral de Navarra,Navarra
262,Camino Natural Vía Verde del Plazaola,Tramo: Trinitarios,Camino Natural Vía Verde del Plazaola Tramo: Trinitarios,"0,90248458977",CN por tramos (6),,,,Comunidad Foral de Navarra,Navarra
293,Camino Natural Vía Verde del Ferrocarril Vasco-Navarro,Tramo: Estella - Murieta,Camino Natural Vía Verde del Ferrocarril Vasco-Navarro Tramo: Estella - Murieta,"13,3423656982",CN por tramos (2),,,,Comunidad Foral de Navarra,Navarra
294,Camino Natural Vía Verde del Plazaola,Tramo: Irurtzun - Sarasa,Camino Natural Vía Verde del Plazaola Tramo: Irurtzun - Sarasa,"9,18634204868",CN por tramos (6),,,,Comunidad Foral de Navarra,Navarra
366,Camino Natural Senda del Pastoreo,Etapa 14: Urbasa - Artaza,Camino Natural Senda del Pastoreo Etapa 14: Urbasa - Artaza,"22,8329082562",CN por etapas (19),,,,Comunidad Foral de Navarra,Navarra
367,Camino Natural Senda del Pastoreo,Etapa 16: Lizarraga - Uharte Arakil,Camino Natural Senda del Pastoreo Etapa 16: Lizarraga - Uharte Arakil,"24,5983160239",CN por etapas (19),,,,Comunidad Foral de Navarra,Navarra
503,Camino Natural Senda del Pastoreo,Etapa 15.1: Ramal Pico Dulantz,Camino Natural Senda del Pastoreo Etapa 15.1: Ramal Pico Dulantz,"0,07638658087",CN por etapas (19),,,,Comunidad Foral de Navarra,Navarra
504,Camino Natural Senda del Pastoreo,Etapa 15: Artaza - Lizarraga,Camino Natural Senda del Pastoreo Etapa 15: Artaza - Lizarraga,"19,5699335604",CN por etapas (19),,,,Comunidad Foral de Navarra,Navarra
516,Camino Natural Vía Verde del Ferrocarril Vasco-Navarro,Tramo: Murieta - Ermita Santo Toribio,Camino Natural Vía Verde del Ferrocarril Vasco-Navarro Tramo: Murieta - Ermita Santo Toribio,"34,7939820612",CN por tramos (2),,,,Comunidad Foral de Navarra,Navarra
594,Camino Natural del Ebro,Etapa 20: Milagro - Tudela,Camino Natural del Ebro Etapa 20: Milagro - Tudela,"34,3506736708",CN por etapas (60),,,,Comunidad Foral de Navarra,Navarra
595,Camino Natural del Ebro,Etapa 21: Tudela-Buñuel,Camino Natural del Ebro Etapa 21: Tudela-Buñuel,"22,7502563618",CN por etapas (60),,,,Comunidad Foral de Navarra,Navarra
1093,GR-220.1. Etapa 01. Circular Miravalles,,GR-220.1. Etapa 01. Circular Miravalles ,"2,7",,,GRXX0220_01E001_0,,Comunidad Foral de Navarra,Navarra
1266,GR-12. Etapa 04. Collado Gorosteta-Collado de Belate,,GR-12. Etapa 04. Collado Gorosteta-Collado de Belate ,"15,31",,,GRXX0012_00E004_0,,Comunidad Foral de Navarra,Navarra
1269,GR-11. Etapa 06. Villanueva de Aezkoa (Hiriberri)-Ochagavía (Otsagabia),,GR-11. Etapa 06. Villanueva de Aezkoa (Hiriberri)-Ochagavía (Otsagabia) ,"20,29",,,GRXX0011_00E006_0,,Comunidad Foral de Navarra,Navarra
1272,GR-225. Etapa 03. Saigots-Sorogain,,GR-225. Etapa 03. Saigots-Sorogain ,"16,54",,,GRXX0225_00E003_0,,Comunidad Foral de Navarra,Navarra
1285,GR-225. Etapa 04. Sorogain-Urepel (Francia),,GR-225. Etapa 04. Sorogain-Urepel (Francia) ,"10,81",,,GRXX0225_00E004_0,,Comunidad Foral de Navarra,Navarra
1307,GR-220. Etapa 05. Eguillor/Egillor-Oteiza/Oteitza,,GR-220. Etapa 05. Eguillor/Egillor-Oteiza/Oteitza ,"19,57",,,GRXX0220_00E005_0,,Comunidad Foral de Navarra,Navarra
1344,GR-11.3. Etapa 02. Lesaka-Elizondo,,GR-11.3. Etapa 02. Lesaka-Elizondo ,"30,75",,,GRXX0011_03E002_0,,Comunidad Foral de Navarra,Navarra
