ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
412,Camino Natural del Valle del Lozoya,Ramal a Canencia (itinerario senderista),Camino Natural del Valle del Lozoya Ramal a Canencia (itinerario senderista),"4,24129193872",Itinerario principal con ramales,,,,Comunidad de Madrid,Madrid
413,Camino Natural del Valle del Lozoya,Ramal a la Ermita de Ntra. Sra. de los Prados (itinerario senderista),Camino Natural del Valle del Lozoya Ramal a la Ermita de Ntra. Sra. de los Prados (itinerario senderista),"3,58376862842",Itinerario principal con ramales,,,,Comunidad de Madrid,Madrid
1390,GR-300. Etapa 03. El Atazar-Robledillo de la Jara,,GR-300. Etapa 03. El Atazar-Robledillo de la Jara ,"11,25",,,GRXX0300_00E003_0,,Comunidad de Madrid,Madrid
1787,GR-300. Etapa 04. Robledillo de la Jara-Cervera de Buitrago-Robledillo de la Jara,,GR-300. Etapa 04. Robledillo de la Jara-Cervera de Buitrago-Robledillo de la Jara ,"3,92",,,GRXX0300_00E004_0,,Comunidad de Madrid,Madrid
2435,GR-300. Etapa 06. El Hospitalillo Manjiron El Hospitalillo,,GR-300. Etapa 06. El Hospitalillo Manjiron El Hospitalillo ,"3,39",,,GRXX0300_00E006_0,,Comunidad de Madrid,Madrid
4515,VV del Tajuña,,VV del Tajuña ,"66,63",,,VVTAJU_119,Tajuña Greenway,Comunidad de Madrid,Madrid
4516,VV de la Gasolina,,VV de la Gasolina ,"3,05",,,VVGASO_002,Gasolina Greenway,Comunidad de Madrid,Madrid
4562,VV del Rio Guadarrama,,VV del Rio Guadarrama ,"5,78",,,VVGDR2_049,Guadarrama River Greenway,Comunidad de Madrid,Madrid
4566,VV del Tren de los 40 Días,,VV del Tren de los 40 Días ,"13,41",,,VVCUAR_036,The 40 Days Train Greenway,Comunidad de Madrid,Madrid
272,Camino Natural de la Cañada Real Soriana Occidental,Etapa 2: Otero de Herreros - Embalse del Pontón Alto (itinerario senderista),Camino Natural de la Cañada Real Soriana Occidental Etapa 2: Otero de Herreros - Embalse del Pontón Alto (itinerario senderista),"21,2537321323",CN por etapas (8),,,,"Castilla y León, Comunidad de Madrid","Madrid, Segovia"
273,Camino Natural de la Cañada Real Soriana Occidental,Etapa 3: Embalse del Pontón Alto - Collado Hermoso (itinerario senderista),Camino Natural de la Cañada Real Soriana Occidental Etapa 3: Embalse del Pontón Alto - Collado Hermoso (itinerario senderista),"19,5464821948",CN por etapas (8),,,,"Castilla y León, Comunidad de Madrid","Madrid, Segovia"
275,Camino Natural de la Cañada Real Soriana Occidental,Etapa 5: Navafría - Arcones (itinerario senderista),Camino Natural de la Cañada Real Soriana Occidental Etapa 5: Navafría - Arcones (itinerario senderista),"14,2143354944",CN por etapas (8),,,,"Castilla y León, Comunidad de Madrid","Madrid, Segovia"
276,Camino Natural de la Cañada Real Soriana Occidental,Etapa 7: Villarejo - Riaza (itinerario senderista),Camino Natural de la Cañada Real Soriana Occidental Etapa 7: Villarejo - Riaza (itinerario senderista),"16,1950046694",CN por etapas (8),,,,"Castilla y León, Castilla-La Mancha, Comunidad de Madrid","Guadalajara, Madrid, Segovia"
407,Camino Natural del Valle del Lozoya,Camino principal (itinerario senderista),Camino Natural del Valle del Lozoya Camino principal (itinerario senderista),"31,6531884124",Itinerario principal con ramales,,,,"Castilla y León, Comunidad de Madrid","Madrid, Segovia"
408,Camino Natural del Valle del Lozoya,Ramal al Monasterio de Santa María del Paular (itinerario senderista),Camino Natural del Valle del Lozoya Ramal al Monasterio de Santa María del Paular (itinerario senderista),"1,39134352759",Itinerario principal con ramales,,,,"Castilla y León, Comunidad de Madrid","Madrid, Segovia"
409,Camino Natural del Valle del Lozoya,Ramal a la Ermita de Santa Ana (itinerario senderista),Camino Natural del Valle del Lozoya Ramal a la Ermita de Santa Ana (itinerario senderista),"6,36697050831",Itinerario principal con ramales,,,,"Castilla y León, Comunidad de Madrid","Madrid, Segovia"
410,Camino Natural del Valle del Lozoya,Ramal a la Ermita de Ntra. Sra. de la Concepción (itinerario senderista),Camino Natural del Valle del Lozoya Ramal a la Ermita de Ntra. Sra. de la Concepción (itinerario senderista),"1,56312577316",Itinerario principal con ramales,,,,"Castilla y León, Comunidad de Madrid","Madrid, Segovia"
