ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
290,Camino Natural Vía Verde del Maigmó,,Camino Natural Vía Verde del Maigmó ,"21,2050480135",Itinerario principal,,,,Comunitat Valenciana,Alacant/Alicante
391,Camino Natural Ruta dels Molins d'Aigua,,Camino Natural Ruta dels Molins d'Aigua ,"11,1221767612",Itinerario principal,,,,Comunitat Valenciana,Castelló/Castellón
392,Camino Natural Turia - Cabriel,Etapa 1: Turia - Siete Aguas (itinerario senderista),Camino Natural Turia - Cabriel Etapa 1: Turia - Siete Aguas (itinerario senderista),"40,6176193075",CN por etapas (3),,,,Comunitat Valenciana,València/Valencia
505,Camino Natural Turia - Cabriel,Etapa 2: Siete Aguas - Jaraguas (itinerario senderista),Camino Natural Turia - Cabriel Etapa 2: Siete Aguas - Jaraguas (itinerario senderista),"50,6406501237",CN por etapas (3),,,,Comunitat Valenciana,València/Valencia
528,Camino Natural Vía Verde de la Safor,,Camino Natural Vía Verde de la Safor ,"6,57286164438",Itinerario principal,,,,Comunitat Valenciana,València/Valencia
575,Camino Natural de l'Antic Trenet,Itinerario principal MAPA (itinerario senderista),Camino Natural de l'Antic Trenet Itinerario principal MAPA (itinerario senderista),"28,2201124426",Itinerario principal con ramales,,,,Comunitat Valenciana,València/Valencia
576,Camino Natural de l'Antic Trenet,Ramal Alzira (itinerario senderista),Camino Natural de l'Antic Trenet Ramal Alzira (itinerario senderista),"4,84393134285",Itinerario principal con ramales,,,,Comunitat Valenciana,València/Valencia
577,Camino Natural de l'Antic Trenet,Ramal a Benifairó de la Valldigna (itinerario senderista),Camino Natural de l'Antic Trenet Ramal a Benifairó de la Valldigna (itinerario senderista),"3,27585090628",Itinerario principal con ramales,,,,Comunitat Valenciana,València/Valencia
578,Camino Natural de l'Antic Trenet,Ramal a playa de Tavernes de la Valldigna (itinerario senderista),Camino Natural de l'Antic Trenet Ramal a playa de Tavernes de la Valldigna (itinerario senderista),"1,58392579571",Itinerario principal con ramales,,,,Comunitat Valenciana,València/Valencia
637,Camino Natural del Santander - Mediterráneo,Alternativa Altura,Camino Natural del Santander - Mediterráneo Alternativa Altura,"0,57369832603",CN por etapas (20),,,,Comunitat Valenciana,Castelló/Castellón
743,Camino Natural Vía Verde de Dénia,,Camino Natural Vía Verde de Dénia ,"5,77933025377",Itinerario principal,,,,Comunitat Valenciana,Alacant/Alicante
761,Camino Natural del Santander - Mediterráneo,Etapa: Teruel - La Puebla de Valverde,Camino Natural del Santander - Mediterráneo Etapa: Teruel - La Puebla de Valverde,"112,65557269",CN por etapas (20),,,,Comunitat Valenciana,"Castelló/Castellón, València/Valencia"
1077,GR-160. Etapa 47. Montanejos-Caudiel,,GR-160. Etapa 47. Montanejos-Caudiel ,"26,78",,,GRXX0160_00E047_0,,Comunitat Valenciana,Castelló/Castellón
1099,GR-238. Etapa 02. Fuenterrobles-Camporrobles,,GR-238. Etapa 02. Fuenterrobles-Camporrobles ,"16,22",,,GRXX0238_00E002_0,,Comunitat Valenciana,València/Valencia
1135,GR-231. Etapa 02. Bejís-Manzanera,,GR-231. Etapa 02. Bejís-Manzanera ,"27,22",,,GRXX0231_00E002_0,,Comunitat Valenciana,Castelló/Castellón
1155,GR-238. Etapa 01. Villargodo-Fuenterrobles,,GR-238. Etapa 01. Villargodo-Fuenterrobles ,"10,65",,,GRXX0238_00E001_0,,Comunitat Valenciana,València/Valencia
1156,GR-231. Etapa 01. Jérica-Bejís,,GR-231. Etapa 01. Jérica-Bejís ,"19,12",,,GRXX0231_00E001_0,,Comunitat Valenciana,"Castelló/Castellón, València/Valencia"
1163,GR-238. Etapa 09. Aldea de Fuen Vich-Casas del Río,,GR-238. Etapa 09. Aldea de Fuen Vich-Casas del Río ,"15,88",,,GRXX0238_00E009_0,,Comunitat Valenciana,València/Valencia
1188,GR-160. Etapa 48. Caudiel-Altura,,GR-160. Etapa 48. Caudiel-Altura ,"18,13",,,GRXX0160_00E048_0,,Comunitat Valenciana,"Castelló/Castellón, València/Valencia"
1191,GR-238. Etapa 06. Sinarcas-El Remedio,,GR-238. Etapa 06. Sinarcas-El Remedio ,"23,83",,,GRXX0238_00E006_0,,Comunitat Valenciana,València/Valencia
1192,GR-238. Etapa 05. La Torre-Sinarcas,,GR-238. Etapa 05. La Torre-Sinarcas ,"10,74",,,GRXX0238_00E005_0,,Comunitat Valenciana,València/Valencia
1197,GR-160. Etapa 49. Altura-Sot de Ferrer,,GR-160. Etapa 49. Altura-Sot de Ferrer ,"15,04",,,GRXX0160_00E049_0,,Comunitat Valenciana,"Castelló/Castellón, València/Valencia"
1198,GR-238. Etapa 10. Casas del Río-Baños de Fuen Podrida,,GR-238. Etapa 10. Casas del Río-Baños de Fuen Podrida ,"22,42",,,GRXX0238_00E010_0,,Comunitat Valenciana,València/Valencia
1202,GR-238. Etapa 07. El Remedio-Villar de Olmos,,GR-238. Etapa 07. El Remedio-Villar de Olmos ,"17,96",,,GRXX0238_00E008_0,,Comunitat Valenciana,València/Valencia
1213,GR-239. Etapa 04. Moixent-La Font de la Figuera,,GR-239. Etapa 04. Moixent-La Font de la Figuera ,"17,21",,,GRXX0239_00E004_0,,Comunitat Valenciana,"Alacant/Alicante, València/Valencia"
1293,GR-7. Etapa 46. Carretera Comarcal 320-Carretera 3316,,GR-7. Etapa 46. Carretera Comarcal 320-Carretera 3316 ,"15,88",,,GRXX0007_00E046_0,,Comunitat Valenciana,"Alacant/Alicante, València/Valencia"
1322,GR-10. Etapa 05. Cueva Santa-Sacanet,,GR-10. Etapa 05. Cueva Santa-Sacanet ,"12,85",,,GRXX0010_00E005_0,,Comunitat Valenciana,"Castelló/Castellón, València/Valencia"
1327,GR-7. Etapa 48. Refugio Santiago Reig del Moral-Alcoi,,GR-7. Etapa 48. Refugio Santiago Reig del Moral-Alcoi ,"8,97",,,GRXX0007_00E048_0,,Comunitat Valenciana,"Alacant/Alicante, València/Valencia"
1343,GR-7. Etapa 31. Villahermosa-San Vicente de Cortes,,GR-7. Etapa 31. Villahermosa-San Vicente de Cortes ,"12,02",,,GRXX0007_00E031_0,,Comunitat Valenciana,Castelló/Castellón
1346,GR-7. Etapa 39. Refugio las Lomas-Rebollar,,GR-7. Etapa 39. Refugio las Lomas-Rebollar ,"31,53",,,GRXX0007_00E039_0,,Comunitat Valenciana,València/Valencia
1536,GR-7. Etapa 26. Vallibona-Morella,,GR-7. Etapa 26. Vallibona-Morella ,"15,2",,,GRXX0007_00E026_0,,Comunitat Valenciana,Castelló/Castellón
1544,GR-236. Etapa 02. Almiserà-Pinet,,GR-236. Etapa 02. Almiserà-Pinet ,"17,41",,,GRXX0236_00E002_0,,Comunitat Valenciana,València/Valencia
1556,GR-36. Etapa 01. La Vilavella-Eslida,,GR-36. Etapa 01. La Vilavella-Eslida ,"16,0",,,GRXX0036_00E001_0,,Comunitat Valenciana,Castelló/Castellón
1575,GR-10. Etapa 02. Segart-Font de la Prunera,,GR-10. Etapa 02. Segart-Font de la Prunera ,"11,26",,,GRXX0010_00E002_0,,Comunitat Valenciana,València/Valencia
1618,GR-7. Etapa 41. Campamento de Tabarla-Cortes de Pallás,,GR-7. Etapa 41. Campamento de Tabarla-Cortes de Pallás ,"26,52",,,GRXX0007_00E041_0,,Comunitat Valenciana,València/Valencia
1619,GR-7. Etapa 36. Andilla-Chelva,,GR-7. Etapa 36. Andilla-Chelva ,"26,74",,,GRXX0007_00E036_0,,Comunitat Valenciana,València/Valencia
1620,GR-7. Etapa 38. Desvío los Visos-Refugio las Lomas,,GR-7. Etapa 38. Desvío los Visos-Refugio las Lomas ,"20,14",,,GRXX0007_00E038_0,,Comunitat Valenciana,València/Valencia
1622,GR-7. Etapa 34. Montán-Bejís,,GR-7. Etapa 34. Montán-Bejís ,"30,38",,,GRXX0007_00E034_0,,Comunitat Valenciana,Castelló/Castellón
1640,GR-10. Etapa 04. Gátova-Cueva Santa,,GR-10. Etapa 04. Gátova-Cueva Santa ,"18,45",,,GRXX0010_00E004_0,,Comunitat Valenciana,"Castelló/Castellón, València/Valencia"
1641,GR-7. Etapa 45. Venta Boquilla-Carretera Comarcal 320,,GR-7. Etapa 45. Venta Boquilla-Carretera Comarcal 320 ,"18,48",,,GRXX0007_00E045_0,,Comunitat Valenciana,"Alacant/Alicante, València/Valencia"
1643,GR-10. Etapa 03. Font de la Prunera-Gátova,,GR-10. Etapa 03. Font de la Prunera-Gátova ,"16,69",,,GRXX0010_00E003_0,,Comunitat Valenciana,"Castelló/Castellón, València/Valencia"
1644,GR-7. Etapa 37. Chelva-Desvío los Visos,,GR-7. Etapa 37. Chelva-Desvío los Visos ,"13,29",,,GRXX0007_00E037_0,,Comunitat Valenciana,València/Valencia
1648,GR-7. Etapa 27. Morella-Ares del Maestrat,,GR-7. Etapa 27. Morella-Ares del Maestrat ,"24,09",,,GRXX0007_00E027_0,,Comunitat Valenciana,Castelló/Castellón
1651,GR-10. Etapa 01. Puçol-Segart,,GR-10. Etapa 01. Puçol-Segart ,"12,93",,,GRXX0010_00E001_0,,Comunitat Valenciana,València/Valencia
1653,GR-7. Etapa 28. Ares del Maestrat-Benassal,,GR-7. Etapa 28. Ares del Maestrat-Benassal ,"12,42",,,GRXX0007_00E028_0,,Comunitat Valenciana,Castelló/Castellón
1658,GR-7. Etapa 50. Castalla-Elda,,GR-7. Etapa 50. Castalla-Elda ,"22,82",,,GRXX0007_00E050_0,,Comunitat Valenciana,Alacant/Alicante
1671,GR-7. Etapa 49. Alcoi-Castalla,,GR-7. Etapa 49. Alcoi-Castalla ,"30,77",,,GRXX0007_00E049_0,,Comunitat Valenciana,Alacant/Alicante
1678,GR-125. Etapa 02. Albatera-Elche,,GR-125. Etapa 02. Albatera-Elche ,"35,11",,,GRXX0125_00E002_0,,Comunitat Valenciana,Alacant/Alicante
1812,GR-36. Etapa 02. Eslida-Alcudia de Veo,,GR-36. Etapa 02. Eslida-Alcudia de Veo ,"11,2",,,GRXX0036_00E002_0,,Comunitat Valenciana,Castelló/Castellón
1840,GR-7. Etapa 32. San Vicente de Cortes-Montanejos,,GR-7. Etapa 32. San Vicente de Cortes-Montanejos ,"14,87",,,GRXX0007_00E032_0,,Comunitat Valenciana,Castelló/Castellón
1866,GR-7. Etapa 47. Carretera 3316-Refugio Santiago Reig del Moral,,GR-7. Etapa 47. Carretera 3316-Refugio Santiago Reig del Moral ,"18,48",,,GRXX0007_00E047_0,,Comunitat Valenciana,"Alacant/Alicante, València/Valencia"
1884,GR-239. Etapa 03. Xàtiva-Moixent,,GR-239. Etapa 03. Xàtiva-Moixent ,"28,52",,,GRXX0239_00E003_0,,Comunitat Valenciana,València/Valencia
1968,GR-232. Etapa 01. Santa Pola-Faro-Santa Pola,,GR-232. Etapa 01. Santa Pola-Faro-Santa Pola ,"24,32",,,GRXX0232_00E001_0,,Comunitat Valenciana,Alacant/Alicante
2102,GR-239. Etapa 05. La Font de la Figuera-Límite Autonómico,,GR-239. Etapa 05. La Font de la Figuera-Límite Autonómico ,"6,54",,,GRXX0239_00E005_0,,Comunitat Valenciana,"Alacant/Alicante, València/Valencia"
