ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
335,Camino Natural Vía Verde del Plazaola,Tramo: Andoain - Leitzaran,Camino Natural Vía Verde del Plazaola Tramo: Andoain - Leitzaran,"3,49976286084",CN por tramos (6),,,,País Vasco/Euskadi,Gipuzkoa
336,Camino Natural Vía Verde del Plazaola,Ramal Parque de Olazar,Camino Natural Vía Verde del Plazaola Ramal Parque de Olazar,"0,48523867623",CN por tramos (6),,,,País Vasco/Euskadi,Gipuzkoa
349,Camino Natural Senda del Pastoreo,Etapa 1: Arantzazu - Arlaban,Camino Natural Senda del Pastoreo Etapa 1: Arantzazu - Arlaban,"27,7326095179",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
350,Camino Natural Senda del Pastoreo,Etapa 1.1: Ramal Leintz-Gatzaga,Camino Natural Senda del Pastoreo Etapa 1.1: Ramal Leintz-Gatzaga,"0,44898593821",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
351,Camino Natural Senda del Pastoreo,Etapa 2: Arlaban - Urkiola,Camino Natural Senda del Pastoreo Etapa 2: Arlaban - Urkiola,"24,7096955124",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
352,Camino Natural Senda del Pastoreo,Etapa 3: Urkiola - Arraba,Camino Natural Senda del Pastoreo Etapa 3: Urkiola - Arraba,"20,4938893045",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
353,Camino Natural Senda del Pastoreo,Etapa 3.1: Alternativa,Camino Natural Senda del Pastoreo Etapa 3.1: Alternativa,"2,78084060233",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
354,Camino Natural Senda del Pastoreo,Etapa 4: Arraba - Izarra,Camino Natural Senda del Pastoreo Etapa 4: Arraba - Izarra,"26,2055168559",CN por etapas (19),,,,País Vasco/Euskadi,Araba/Álava
355,Camino Natural Senda del Pastoreo,Etapa 4.1: Alternativa Garrastatxu,Camino Natural Senda del Pastoreo Etapa 4.1: Alternativa Garrastatxu,"13,8279155872",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
356,Camino Natural Senda del Pastoreo,Etapa 4.2: Ramal a Garrastatxu,Camino Natural Senda del Pastoreo Etapa 4.2: Ramal a Garrastatxu,"1,67094833464",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
361,Camino Natural Senda del Pastoreo,Etapa 9: Espejo - Nanclares de la Oca,Camino Natural Senda del Pastoreo Etapa 9: Espejo - Nanclares de la Oca,"34,6366068615",CN por etapas (19),,,,País Vasco/Euskadi,Araba/Álava
370,Camino Natural Senda del Pastoreo,Etapa 19: Mikeleten Etxea - Arantzazu,Camino Natural Senda del Pastoreo Etapa 19: Mikeleten Etxea - Arantzazu,"11,551322387",CN por etapas (19),,,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
1072,GR-280. Etapa 02. Sopela-Derio,,GR-280. Etapa 02. Sopela-Derio ,"27,7",,,GRXX0280_00E002_0,,País Vasco/Euskadi,Bizkaia
1073,GR-228. Etapa 02. Bolueta-Deusto,,GR-228. Etapa 02. Bolueta-Deusto ,"22,62",,,GRXX0228_00E002_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
1076,GR-280. Etapa 01. Armintza-Sopela,,GR-280. Etapa 01. Armintza-Sopela ,"17,41",,,GRXX0280_00E001_0,,País Vasco/Euskadi,Bizkaia
1078,GR-228. Etapa 01. Deusto-Bolueta,,GR-228. Etapa 01. Deusto-Bolueta ,"15,54",,,GRXX0228_00E001_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
1082,GR-280. Etapa 05. Bakio-Armintza,,GR-280. Etapa 05. Bakio-Armintza ,"18,44",,,GRXX0280_00E005_0,,País Vasco/Euskadi,Bizkaia
1084,GR-280. Etapa 03. Derio-Arrieta,,GR-280. Etapa 03. Derio-Arrieta ,"16,0",,,GRXX0280_00E003_0,,País Vasco/Euskadi,Bizkaia
1087,GR-120. Etapa 01. Loiola-Zumárraga,,GR-120. Etapa 01. Loiola-Zumárraga ,"17,11",,,GRXX0120_00E001_0,,País Vasco/Euskadi,Gipuzkoa
