ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
389,Camino Natural Vía Verde del Noroeste,Etapa 2: Baños de Mula - Caravaca de la Cruz,Camino Natural Vía Verde del Noroeste Etapa 2: Baños de Mula - Caravaca de la Cruz,"49,3048769828",CN por etapas (2),,,,Región de Murcia,Murcia
390,Camino Natural Vía Verde del Noroeste,Ramal a Santuario del Niño Jesús de Balate.,Camino Natural Vía Verde del Noroeste Ramal a Santuario del Niño Jesús de Balate.,"0,11913296986",CN por etapas (2),,,,Región de Murcia,Murcia
498,Camino Natural Vía Verde del Noroeste,Etapa 1: Murcia - Baños de Mula,Camino Natural Vía Verde del Noroeste Etapa 1: Murcia - Baños de Mula,"29,2741638377",CN por etapas (2),,,,Región de Murcia,Murcia
1079,GR-253. Etapa 04. Zarcilla de Ramos-Caravaca de la Cruz,,GR-253. Etapa 04. Zarcilla de Ramos-Caravaca de la Cruz ,"38,66",,,GRXX0253_00E004_0,,Región de Murcia,Murcia
1081,GR-252. Etapa 02. Totana-El Berro,,GR-252. Etapa 02. Totana-El Berro ,"31,81",,,GRXX0252_00E002_0,,Región de Murcia,Murcia
1085,GR-7. Etapa 55. Calasparra-Moratalla,,GR-7. Etapa 55. Calasparra-Moratalla ,"22,37",,,GRXX0007_00E055_0,,Región de Murcia,Murcia
1090,GR-252. Etapa 01. Mazarrón-Totana,,GR-252. Etapa 01. Mazarrón-Totana ,"35,99",,,GRXX0252_00E001_0,,Región de Murcia,Murcia
1096,GR-253. Etapa 03. Lorca-Zarcilla de Ramos,,GR-253. Etapa 03. Lorca-Zarcilla de Ramos ,"31,33",,,GRXX0253_00E003_0,,Región de Murcia,Murcia
1101,GR-250. Etapa 06. Bullas-Caravaca de la Cruz,,GR-250. Etapa 06. Bullas-Caravaca de la Cruz ,"24,43",,,GRXX0250_00E006_0,,Región de Murcia,Murcia
1102,GR-252. Etapa 03. El Berro-Casas Nuevas,,GR-252. Etapa 03. El Berro-Casas Nuevas ,"28,31",,,GRXX0252_00E003_0,,Región de Murcia,Murcia
1108,GR-250. Etapa 02. Los Martínez del Puerto-Murcia,,GR-250. Etapa 02. Los Martínez del Puerto-Murcia ,"29,11",,,GRXX0250_00E002_0,,Región de Murcia,Murcia
1112,GR-250. Etapa 04. Alguazas-Mula,,GR-250. Etapa 04. Alguazas-Mula ,"28,96",,,GRXX0250_00E004_0,,Región de Murcia,Murcia
1115,GR-250. Etapa 03. Murcia-Alguazas,,GR-250. Etapa 03. Murcia-Alguazas ,"21,49",,,GRXX0250_00E003_0,,Región de Murcia,Murcia
1127,GR-251. Etapa 04. Calasparra-Moratalla,,GR-251. Etapa 04. Calasparra-Moratalla ,"21,62",,,GRXX0251_00E004_0,,Región de Murcia,Murcia
1130,GR-251. Etapa 02. Jumilla-Venta del Olivo,,GR-251. Etapa 02. Jumilla-Venta del Olivo ,"28,16",,,GRXX0251_00E002_0,,Región de Murcia,Murcia
1133,GR-252. Etapa 04. Casas Nuevas-Bullas,,GR-252. Etapa 04. Casas Nuevas-Bullas ,"23,7",,,GRXX0252_00E004_0,,Región de Murcia,Murcia
1138,GR-251. Etapa 05. Moratalla-Caravaca de la Cruz,,GR-251. Etapa 05. Moratalla-Caravaca de la Cruz ,"17,88",,,GRXX0251_00E005_0,,Región de Murcia,Murcia
1152,GR-7. Etapa 56. Moratalla-El Sabinar,,GR-7. Etapa 56. Moratalla-El Sabinar ,"30,02",,,GRXX0007_00E056_0,,Región de Murcia,Murcia
1162,GR-251. Etapa 01. Yecla-Jumilla,,GR-251. Etapa 01. Yecla-Jumilla ,"25,19",,,GRXX0251_00E001_0,,Región de Murcia,Murcia
1173,GR-7. Etapa 54. Cieza-Calasparra,,GR-7. Etapa 54. Cieza-Calasparra ,"35,53",,,GRXX0007_00E054_0,,Región de Murcia,Murcia
1176,GR-250. Etapa 01. Cartagena-Los Martínez del Puerto,,GR-250. Etapa 01. Cartagena-Los Martínez del Puerto ,"29,75",,,GRXX0250_00E001_0,,Región de Murcia,Murcia
1181,GR-250. Etapa 05. Mula-Bullas,,GR-250. Etapa 05. Mula-Bullas ,"21,22",,,GRXX0250_00E005_0,,Región de Murcia,Murcia
1196,GR-251. Etapa 03. Venta del Olivo-Calasparra,,GR-251. Etapa 03. Venta del Olivo-Calasparra ,"28,57",,,GRXX0251_00E003_0,,Región de Murcia,Murcia
1203,GR-7. Etapa 53. Venta Román-Cieza,,GR-7. Etapa 53. Venta Román-Cieza ,"25,32",,,GRXX0007_00E053_0,,Región de Murcia,Murcia
2801,PR-MU 007. Los Madriles (Isla Plana)-Tallante (Cartagena),,PR-MU 007. Los Madriles (Isla Plana)-Tallante (Cartagena) ,"10,03",,,PRMU0007_00E000_0,,Región de Murcia,Murcia
2802,PR-MU 004. Barrio de la Concepción (Cartagena)-Barrio de la Concepción (Cartagena),,PR-MU 004. Barrio de la Concepción (Cartagena)-Barrio de la Concepción (Cartagena) ,"5,65",,,PRMU0004_00E000_0,,Región de Murcia,Murcia
2803,PR-MU 003. Portman-Llano del Beal,,PR-MU 003. Portman-Llano del Beal ,"6,38",,,PRMU0003_00E000_0,,Región de Murcia,Murcia
2804,PR-MU 002. Monte de Las Cenizas-Collado de Atamaría,,PR-MU 002. Monte de Las Cenizas-Collado de Atamaría ,"2,74",,,PRMU0002_00E000_0,,Región de Murcia,Murcia
3030,PR-MU 027. Puerto Lumbreras-Puerto Lumbreras,,PR-MU 027. Puerto Lumbreras-Puerto Lumbreras ,"19,01",,,PRMU0027_00E000_0,,Región de Murcia,Murcia
3031,PR-MU 026. Puerto Lumbreras-Puerto Lumbreras,,PR-MU 026. Puerto Lumbreras-Puerto Lumbreras ,"4,04",,,PRMU0026_00E000_0,,Región de Murcia,Murcia
3032,PR-MU 025. Salto de Almadenes-Salto de Almadenes,,PR-MU 025. Salto de Almadenes-Salto de Almadenes ,"13,19",,,PRMU0025_00E000_0,,Región de Murcia,Murcia
3034,PR-MU 023. Collado de los Ginovinos-Conexión al PR-MU-34 Camino de los Arejos del Majal Blanco,,PR-MU 023. Collado de los Ginovinos-Conexión al PR-MU-34 Camino de los Arejos del Majal Blanco ,"24,95",,,PRMU0023_00E000_0,,Región de Murcia,Murcia
3035,PR-MU 022. Santo Ángel-Relojero,,PR-MU 022. Santo Ángel-Relojero ,"3,26",,,PRMU0022_00E000_0,,Región de Murcia,Murcia
3167,PR-MU 021. Carretera de la Alberca a El Valle-Carrascoy,,PR-MU 021. Carretera de la Alberca a El Valle-Carrascoy ,"11,87",,,PRMU0021_00E000_0,,Región de Murcia,Murcia
3210,PR-MU 001. Centro de Interpretación de Cobaticas-Cento de Interpretación de Cobaticas,,PR-MU 001. Centro de Interpretación de Cobaticas-Cento de Interpretación de Cobaticas ,"8,51",,,PRMU0001_00E000_0,,Región de Murcia,Murcia
3720,PR-MU 008. Área recreativa de Ricote-Ricote,,PR-MU 008. Área recreativa de Ricote-Ricote ,"7,97",,,PRMU0008_00E000_0,,Región de Murcia,Murcia
4452,SL-MU-004. Cehegín-Cehegín,,SL-MU-004. Cehegín-Cehegín ,"1,82",,,SLMU0004_00E000_0,,Región de Murcia,Murcia
4478,SL-MU-006. Pliego. Ermita de los Remedios-Mirador de la Cruz,,SL-MU-006. Pliego. Ermita de los Remedios-Mirador de la Cruz ,"1,92",,,SLMU0006_00E000_0,,Región de Murcia,Murcia
4480,SL-MU-001. Centro de Visitantes Ricardo Codorníu-Centro de Visitantes Ricardo Codorníu,,SL-MU-001. Centro de Visitantes Ricardo Codorníu-Centro de Visitantes Ricardo Codorníu ,"2,4",,,SLMU0001_00E000_0,,Región de Murcia,Murcia
4481,SL-MU-007. Centro de Visitantes de El Valle-Centro de Visitantes de la Luz,,SL-MU-007. Centro de Visitantes de El Valle-Centro de Visitantes de la Luz ,"1,77",,,SLMU0007_00E000_0,,Región de Murcia,Murcia
4487,SL-MU-002. Aula de la naturaleza de las Alquerías-Aula de la naturaleza de las Alquerías,,SL-MU-002. Aula de la naturaleza de las Alquerías-Aula de la naturaleza de las Alquerías ,"3,69",,,SLMU0002_00E000_0,,Región de Murcia,Murcia
4488,SL-MU-003. La Santa-La Santa,,SL-MU-003. La Santa-La Santa ,"2,35",,,SLMU0003_00E000_0,,Región de Murcia,Murcia
4508,VV del Noroeste,,VV del Noroeste ,"78,02",,,VVNORO_081,Greenway of the Northwest,Región de Murcia,Murcia
4509,VV del Chicharra (Cieza),,VV del Chicharra (Cieza) ,"13,79",,,VVXIX3_141,Chicharra Greenway,Región de Murcia,Murcia
4527,VV de la Floración de Cieza,,VV de la Floración de Cieza ,"9,78",,,VVCIEZ_046,Cieza Flowering Greenway,Región de Murcia,Murcia
4535,VV Barrio del Peral,,VV Barrio del Peral ,"1,96",,,VVCART_029,Barrio del Peral Greenway,Región de Murcia,Murcia
4563,VV del Campo de Cartagena,,VV del Campo de Cartagena ,"53,65",,,VVCATO_030,Campo de Cartagena Greenway,Región de Murcia,Murcia
4571,VV de Mazarrón,,VV de Mazarrón ,"13,83",,,VVPINI_090,Mazarrón Greenway,Región de Murcia,Murcia
4633,VV del Embarcadero de Hornillo,,VV del Embarcadero de Hornillo ,"0,56",,,VVHORN_138,Hornillo Jetty Greenway,Región de Murcia,Murcia
1129,GR-253. Etapa 02. Pozo de la Higuera-Lorca,,GR-253. Etapa 02. Pozo de la Higuera-Lorca ,"27,65",,,GRXX0253_00E002_0,,"Andalucía, Región de Murcia","Almería, Murcia"
1136,GR-253. Etapa 01. Águilas-Pozo de la Higuera,,GR-253. Etapa 01. Águilas-Pozo de la Higuera ,"22,98",,,GRXX0253_00E001_0,,"Andalucía, Región de Murcia","Almería, Murcia"
1143,GR-7. Etapa 57. El Sabinar-Ermita de La Rogativa,,GR-7. Etapa 57. El Sabinar-Ermita de La Rogativa ,"16,81",,,GRXX0007_00E057_0,,"Castilla-La Mancha, Región de Murcia","Albacete, Murcia"
1149,GR-7. Etapa 58. Ermita de La Rogativa-Collado Almaciles,,GR-7. Etapa 58. Ermita de La Rogativa-Collado Almaciles ,"20,77",,,GRXX0007_00E058_0,,"Andalucía, Región de Murcia","Granada, Murcia"
1204,GR-7. Etapa 52. Límite Regional-Venta Román,,GR-7. Etapa 52. Límite Regional-Venta Román ,"23,26",,,GRXX0007_00E052_0,,"Comunitat Valenciana, Región de Murcia","Alacant/Alicante, Murcia"
2706,PR-AB 043. De Fortaleza al Mainetón,,PR-AB 043. De Fortaleza al Mainetón ,"13,02",,,PRAB0043_00E000_0,,"Castilla-La Mancha, Región de Murcia","Albacete, Murcia"
