taxonid,name,taxonrank,origen,taxonomicgroup,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,nametype
6,Sambucus nigra subsp. palmensis (Link) Bolli,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,,nigra,palmensis,Aceptado/válido
8,Aichryson pachycaulon Bolle subsp. pachycaulon,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aichryson,,pachycaulon,pachycaulon,Aceptado/válido
10,Aichryson porphyrogennetos Bolle,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aichryson,,porphyrogennetos,,Aceptado/válido
11,Anagyris latifolia Willd.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Anagyris,,latifolia,,Aceptado/válido
46,Argyranthemum frutescens (L.) Sch. Bip.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Argyranthemum,,frutescens,,Aceptado/válido
55,Artemisia armeniaca Lam.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,armeniaca,,Aceptado/válido
9916,Artemisia chamaemelifolia subsp. cantabrica M.Laínz,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,chamaemelifolia,cantabrica,Sinónimo
80437,Artemisia pedemontana Balb.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,pedemontana,,Sinónimo
61,Artemisia thuscula Cav.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,thuscula,,Aceptado/válido
117,Bellis cordifolia (Kunze) Willk.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,,cordifolia,,Aceptado/válido
121,Bupleurum balansae Boiss. & Reut.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,,balansae,,Aceptado/válido
154,Chamaemelum fuscatum (Brot.) Vasc.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamaemelum,,fuscatum,,Aceptado/válido
159,Chamaemelum nobile (L.) All.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamaemelum,,nobile,,Aceptado/válido
31855,Chamomilla aurea (Loefl.) Coss. & Kralik,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamomilla,,aurea,,Sinónimo
162,Chamomilla recutita (L.) Rauschert,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamomilla,,recutita,,Sinónimo
3544,"Cheirolophus lagunae Olivares, Peris, Stübing & J.Martín",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,lagunae,,Sinónimo
170,Cistanche mauritanica (Coss. & Durieu) Beck,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Cistanche,,mauritanica,,Aceptado/válido
176,Conyza albida Willd. ex Spreng.,Species,Especie no nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,,albida,,Aceptado/válido
208,Crepis pygmaea subsp. anachoretica Babc.,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,,pygmaea,anachoretica,Sinónimo
