CUADRICULA,CCAA,Provincia
29TMM59,,
29TMM28,,
29TMM38,,
29TMM48,,
29TMM58,,
29TMM68,,
29TMM78,,
29TMM07,,
29TMM17,,
29TMM27,,
29TMM37,,
29TMM47,,
29TMM57,,
29TMM67,,
29TMM77,,
29TMM87,,
29TMM97,,
29TNM07,,
29TLM96,,
29TMM06,,
29TMM16,,
29TMM26,,
29TMM36,,
29TMM46,,
29TMM56,,
29TMM66,,
29TMM76,,
29TMM86,,
29TMM96,,
29TNM06,,
29TLM75,,
29TNM16,,
29TLM85,,
29TNM26,,
29TLM95,,
29TMM05,,
29TMM15,,
29TMM25,,
29TMM35,,
29TMM45,,
29TMM55,,
29TMM65,,
29TMM75,,
29TMM85,,
29TMM95,,
29TLM64,,
29TNM05,,
29TLM74,,
29TNM15,,
29TLM84,,
29TNM25,,
29TLM94,,
29TNM35,,
29TMM04,,
29TNM45,,
29TMM14,,
29TMM24,,
29TMM34,,
29TMM44,,
29TMM54,,
29TMM64,,
29TMM74,,
29TLM43,,
29TMM84,,
29TLM53,,
29TMM94,,
29TLM63,,
29TNM04,,
29TLM73,,
29TNM14,,
29TLM83,,
29TNM24,,
29TLM93,,
29TNM34,,
29TMM03,,
29TNM44,,
29TMM13,,
29TNM54,,
29TMM23,,
29TNM64,,
29TMM33,,
29TNM74,,
29TMM43,,
29TMM53,,
29TMM63,,
29TMM73,,
29TLM42,,
29TMM83,,
29TLM52,,
29TMM93,,
29TLM62,,
29TNM03,,
29TLM72,,
29TNM13,,
29TLM82,,
29TNM23,,
29TLM92,,
29TNM33,,
29TMM02,,
29TNM43,,
29TMM12,,
29TNM53,,
29TMM22,,
29TNM63,,
29TMM32,,
29TNM73,,
29TMM42,,
29TMM52,,
29TMM62,,
29TMM72,,
29TMM82,,
29TLM51,,
29TMM92,,
29TLM61,,
29TNM02,,
29TLM71,,
29TNM12,,
29TLM81,,
29TNM22,,
29TLM91,,
29TNM32,,
29TMM01,,
29TNM42,,
29TMM11,,
29TNM52,,
29TMM21,,
29TNM62,,
29TMM31,,
29TNM72,,
29TMM41,,
29TMM51,,
29TMM61,,
29TMM71,,
29TMM81,,
29TMM91,,
29TLM60,,
29TNM01,,
29TLM70,,
29TNM11,,
29TLM80,,
29TNM21,,
29TLM90,,
29TNM31,,
29TMM00,,
29TNM41,,
29TMM10,,
29TNM51,,
29TMM20,,
29TNM61,,
29TMM30,,
29TNM71,,
29TMM40,,
29TMM50,,
29TMM60,,
29TMM70,,
29TMM80,,
29TMM90,,
29TLL69,,
29TNM00,,
29TLL79,,
29TNM10,,
29TLL89,,
29TNM20,,
29TLL99,,
29TNM30,,
29TML09,,
29TNM40,,
29TML19,,
29TNM50,,
29TML29,,
