ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
265,Camino Natural Vía Verde del Pas,Tramo Astillero - Villaescusa,Camino Natural Vía Verde del Pas Tramo Astillero - Villaescusa,"7,40727281704",CN por tramos (2),,,,Cantabria,Cantabria
266,Camino Natural Vía Verde del Pas,Tramo Sarón - La Penilla,Camino Natural Vía Verde del Pas Tramo Sarón - La Penilla,"3,31638691756",CN por tramos (2),,,,Cantabria,Cantabria
267,Camino Natural del Valle de Toranzo,Ruta de Ontaneda,Camino Natural del Valle de Toranzo Ruta de Ontaneda,"8,148347024",CN por etapas (2),,,,Cantabria,Cantabria
496,Camino Natural del Valle de Toranzo,Ruta de Corvera,Camino Natural del Valle de Toranzo Ruta de Corvera,"7,24448147421",CN por etapas (2),,,,Cantabria,Cantabria
570,Camino Natural del Ebro,Etapa 1: Fontibre - Montes Claros,Camino Natural del Ebro Etapa 1: Fontibre - Montes Claros,"26,9745645443",CN por etapas (60),,,,Cantabria,Cantabria
990,Brez-Canal de las Arredondas - Principal,,Brez-Canal de las Arredondas - Principal ,,,"<center><table><tr><th colspan='2' align='center'><em>Atributos</em></th></tr><tr bgcolor=""#E3E3F3""> <th>Parque Nacional</th> <td>Picos de Europa</td> </tr><tr bgcolor=""""> <th>Nombre</th> <td>Brez-Canal de las Arredondas</td> </tr><tr bgcolor=""#E3E3F3""> <th>Número</th> <td>PR-PNPE-27</td> </tr><tr bgcolor=""""> <th>Tipo</th> <td>Principal</td> </tr><tr bgcolor=""#E3E3F3""> <th>Sentido</th> <td>Circular</td> </tr><tr bgcolor=""""> <th>Dificultad</th> <td>Baja</td> </tr><tr bgcolor=""#E3E3F3""> <th>Duración (h)</th> <td>2</td> </tr><tr bgcolor=""""> <th>Longitud (km)</th> <td>4.9</td> </tr><tr bgcolor=""#E3E3F3""> <th>Recomendaciones</th> <td>Tenga en cuenta la meteorología. Lleve siempre botas de montaña. Preste atención a la Iglesia y la arquitectura popular de Brez.El contraste de paisajes (bosques mediterráneos, cumbres calizas, prados).</td> </tr><tr bgcolor=""""> <th>Descripción</th> <td>Brez (altitud 730 m) es un pueblecito situado en la parte alta del valle de Camaleño, donde aún es posible contemplar los típicos sietos, rústicas celosías de avellano que cierran corredores y pajares. El patrono de este coqueto pueblecito es San Cipriano, del que se conserva una talla del siglo XVII en la iglesia parroquial, que también alberga un sagrario del siglo XVI y una cruz policromada del siglo XIV. Salimos de Brez por la senda que sale a la derecha de la iglesia, y que se abre paso entre prados y tierras de labor, para rápidamente internarnos en una zona boscosa de quejigos y alcornoques, sorprendente vestigio de un bosque mediterráneo que en otro tiempo cubrió estos parajes. En un cruce de pistas (20 minutos, altitud 800 m) tomamos la que sale a la izquierda en dirección norte, y que poco a poco va ascendiendo hacia el macizo. El bosque va clareándose dejando a la vista la canal de las Arredondas, por donde los mineros, al mando del industrial D. Juan Evangelista, bajaban el mineral de zinc hasta el pueblo de Lon. La pista se aproxima finalmente a la Canal junto a un pequeño hayedo. Se contempla aquí en toda su extensión el circo glaciar de Las Arredondas y la morrena central que separa el arroyo de La Vega del de Las Blancas. En este punto hay que cambiar bruscamente de dirección, siguiendo la pista que gira a la izquierda y asciende hasta el Prao La Mayor (1 hora y 15 minutos, altitud 1.000 m), cuyo muro de piedra se bordea para seguir ahora en dirección sur. El camino casi llano sortea algunos bloques de piedra caídos de las laderas del alto de los Cabezos, hasta llegar finalmente al Castro de las Cerras (1 hora y 45 minutos, altitud 900 m). Este es un buen punto de observación sobre todo el valle de Valdebaró y el pueblo de Brez. En este entorno aparecen grandes bloques de conglomerados, que tiempo atrás amenazaron con caer ladera abajo sobre el pueblo de Brez. Ante la permanente amenaza se procedió al afianzamiento del roquedo. Finalmente, un descenso sinuoso nos deja de nuevo en el pueblo de Brez (2 horas, altitud 730 m) tras este cómodo paseo por la media montaña de los Picos de Europa.</td> </tr></table></center>",,,Cantabria,Cantabria
1024,Refugio de Ándara-Canal de San Carlos-Argüébanes - Principal,,Refugio de Ándara-Canal de San Carlos-Argüébanes - Principal ,,,"<center><table><tr><th colspan='2' align='center'><em>Atributos</em></th></tr><tr bgcolor=""#E3E3F3""> <th>Parque Nacional</th> <td>Picos de Europa</td> </tr><tr bgcolor=""""> <th>Nombre</th> <td>Refugio de Ándara-Canal de San Carlos-Argüébanes</td> </tr><tr bgcolor=""#E3E3F3""> <th>Número</th> <td>TRAV-9</td> </tr><tr bgcolor=""""> <th>Tipo</th> <td>Principal</td> </tr><tr bgcolor=""#E3E3F3""> <th>Sentido</th> <td>Ida</td> </tr><tr bgcolor=""""> <th>Dificultad</th> <td>Alta</td> </tr><tr bgcolor=""#E3E3F3""> <th>Duración (h)</th> <td>7</td> </tr><tr bgcolor=""""> <th>Longitud (km)</th> <td>10.7</td> </tr><tr bgcolor=""#E3E3F3""> <th>Recomendaciones</th> <td>El refugio de Ándara es el único existente en el Macizo Oriental, al que se accede siguiendo la ruta PR-PNPE-28, bien sea desde el Hoyo del Tejo o desde Bejes.</td> </tr><tr bgcolor=""""> <th>Descripción</th> <td>Desde el refugio se toma una pista minera que sale detrás del mismo hasta alcanzar el collado de la Aldea, donde se toma un sendero que sale a la izquierda para descender a las Vegas de Ándara. Se cruza la vega en dirección Sur hasta la fuente de La Escalera, donde asciende una antigua pista minera en zigzag que nos llevará hasta el collado de San Carlos, dando vista al valle de Liébana. Se desciende por el sendero hasta la majada de Trulledes, donde se toma la pista que sigue descendiendo hasta un cruce, donde se toma la pista de la derecha que baja hasta Argüébanes.</td> </tr></table></center>",,,Cantabria,Cantabria
1027,Enlace Monte Camba (Tielve-Sotres) - Macizo de Ándara - Enlace,,Enlace Monte Camba (Tielve-Sotres) - Macizo de Ándara - Enlace ,,,"<center><table><tr><th colspan='2' align='center'><em>Atributos</em></th></tr><tr bgcolor=""#E3E3F3""> <th>Parque Nacional</th> <td>Picos de Europa</td> </tr><tr bgcolor=""""> <th>Nombre</th> <td>Enlace Monte Camba (Tielve-Sotres) - Macizo de Ándara</td> </tr><tr bgcolor=""#E3E3F3""> <th>Número</th> <td>PR-PNPE-20/PR-PNPE-28</td> </tr><tr bgcolor=""""> <th>Tipo</th> <td>Enlace</td> </tr><tr bgcolor=""#E3E3F3""> <th>Sentido</th> <td>Ida</td> </tr><tr bgcolor=""""> <th>Dificultad</th> <td>No disponible</td> </tr><tr bgcolor=""#E3E3F3""> <th>Duración (h)</th> <td>1</td> </tr><tr bgcolor=""""> <th>Longitud (km)</th> <td>2.9</td> </tr><tr bgcolor=""#E3E3F3""> <th>Recomendaciones</th> <td>No disponible</td> </tr><tr bgcolor=""""> <th>Descripción</th> <td>Se trata de una ruta de enlace entre las rutas Monte Camba (Tielve-Sotres) y Macizo de Ándara </td> </tr></table></center>",,,Cantabria,Cantabria
1039,Macizo de Ándara - Principal,,Macizo de Ándara - Principal ,,,"<center><table><tr><th colspan='2' align='center'><em>Atributos</em></th></tr><tr bgcolor=""#E3E3F3""> <th>Parque Nacional</th> <td>Picos de Europa</td> </tr><tr bgcolor=""""> <th>Nombre</th> <td>Macizo de Ándara</td> </tr><tr bgcolor=""#E3E3F3""> <th>Número</th> <td>PR-PNPE-28</td> </tr><tr bgcolor=""""> <th>Tipo</th> <td>Principal</td> </tr><tr bgcolor=""#E3E3F3""> <th>Sentido</th> <td>Ida y vuelta</td> </tr><tr bgcolor=""""> <th>Dificultad</th> <td>Media</td> </tr><tr bgcolor=""#E3E3F3""> <th>Duración (h)</th> <td>7.5</td> </tr><tr bgcolor=""""> <th>Longitud (km)</th> <td>27.6</td> </tr><tr bgcolor=""#E3E3F3""> <th>Recomendaciones</th> <td>Planifique bien el regreso al punto de estacionamiento de su vehículo ya que se trata de un recorrido de ida y vuelta. Nunca abandone el camino; siga la señalización. Ruta larga y con fuerte desnivel, aunque toda ella discurre por una cómoda pista. Preste atención a la espectacular obra de los caminos mineros abiertos sobre las laderas. Las hayas creciendo entre las rocas en Valdediezma y La Llama. Las explotaciones mineras de Ándara. Los hornos del Dobrillo.</td> </tr><tr bgcolor=""""> <th>Descripción</th> <td>Describimos aquí la ruta en su versión más larga, empezando en la aldea de Bejes (altitud 590 m) Para ello hay que tomar la pista de hormigón que se inicia detrás de las últimas casas del barrio de la Aldea, y que sube hacia los invernales que hay en el collado de Hoja, donde hay un pequeño aparcamiento a la entrada del Parque Nacional. Se puede subir en coche hasta este aparcamiento y ahorrar así la primera media hora de subida. No obstante, téngase en cuenta que los tiempos de referencia que se dan para esta ruta se han tomado suponiendo el inicio del recorrido en Bejes. La pista minera va ganando altura en una subida continua, y dando varias revueltas hasta llegar al paraje conocido como los Hornos del Dobrillo (1 hora y 40 minutos, altitud 1.100 m), lugar donde se aprecian los últimos restos de las explanadas en las que se calcinaban la blenda y la calamina, para aligerar así el mineral procedente de las minas de Ándara y continuar su transporte con carros de bueyes hasta las barcazas que había en La Hermida. Está documentado que, a finales del siglo XIX, la quema del mineral generaba densas nubes de humo sobre la comarca de Liébana que coincidía con daños apreciables sobre los viñedos, lo que supone uno de los primeros casos de lluvia ácida que se conoce en nuestro país. Pronto se suaviza el camino, dejando ahora a la derecha el barranco por cuyo fondo discurre el río Urdón, con unas impresionantes vistas del pueblo de Tresviso al otro lado del cañón, que junto con Bejes, constituye la cuna del famoso queso Picón Bejes-Tresviso. Hay un momento en que la caída es prácticamente vertical, con casi mil metros de desnivel entre la pista y el fondo del barranco, sitio que se conoce como el Salto de la Cabra, donde es frecuente ver desde arriba la majestuosa imagen de los buitres planeando. El camino nos lleva hasta un pilón de agua, lugar conocido como el Vao de los Lobos (2 horas y 5 minutos, altitud 1.150 m), punto de bifurcación de la ruta, y al que habrá que regresar después de dar toda la vuelta al entramado de pistas mineras. El ramal de la derecha, prácticamente llano, se dirige hacia el Hoyo del Tejo, mientras que el de la izquierda asciende en dirección al interior del Macizo de Ándara. Tomaremos esta última opción, de forma que haremos primero el trayecto de subida hasta el refugio, para luego bajar al Hoyo del Tejo para regresar luego por esta pista más llana. Se va ascendiendo a la sombra de las hayas del monte La Llama, alcanzando más arriba la sierra de la Corta. El camino, tras un largo trecho, alcanza una zona de matorrales de enebro rastrero que se abrazan a las rocas calizas, dejando ver ahora con más claridad algunas cumbres del macizo; la más evidente es la Pica del Macondiú que se yergue solemne al frente del trayecto. Tras pasar por las revueltas del Tejo y de la Concha Varera, la pista llega a un nuevo cruce (3 horas y 45 minutos, 1.650 m), con un ramal a la izquierda que se adentra al interior del macizo, y otro a la derecha que rodea la base del Macondiú por el norte. Tomando este último en unos minutos se llega al refugio del Casetón de Ándara (4 horas y 10 minutos, altitud 1.700 m), construido a partir de la remodelación de un edificio de las antiguas instalaciones mineras, y que constituye un buen punto de referencia para acometer nuevas rutas al interior del macizo Oriental. Se deja atrás el refugio para continuar por la pista en dirección norte, que tras una bajada de 45 minutos termina en el aparcamiento del Hoyo del Tejo (4 horas y 55 minutos, 1.290 m), junto a la carretera que comunica Sotres con Tresviso. Este punto, accesible en vehículo, es uno de los dos extremos desde los que hacer la travesía Sotres Æ Bejes (Sotres se encuentra solo a media hora andando siguiendo la carretera), cuya descripción se realiza a continuación. Desde el mismo aparcamiento del Hoyo del Tejo hay que tomar la pista que sale de frente (dirección este) iniciando primero un ligero descenso, para internarse después en cómodo terreno llano en los hayedos de La Corta y Valdediezma. La ruta no tiene pérdida y es cómoda a partir de aquí. Pronto sorprende con encantadores rincones que el camino minero fue conquistando a la dura caliza, mostrando las agudas formas rocosas del paisaje kárstico, donde las hayas achaparradas crean un ambiente de cuento de hadas. Se van dejando todos los pequeños ramales y senderos que salen a derecha e izquierda, siguiendo siempre por la arteria principal, que pronto va a dejarse ver en toda su longitud, dando noción de la sabiduría de estos antiguos trazadores de caminos, que realizaron obras tan complejas como ésta. En un claro ganado al bosque se dejan ver las majadas de la Cerezal y la Llama, para llegar finalmente de nuevo al Vao de los Lobos, desde donde solamente resta seguir el camino que hasta este punto habíamos traído, pasando de nuevo por los Hornos del Dobrillo. El final en Bejes (7 horas y 35 minutos, altitud 590 m) bien merecerá una parada en la fonda a reponer fuerzas.</td> </tr></table></center>",,,Cantabria,Cantabria
1347,GR-74. Etapa 08. San Miguel de Aguayo-Reinosa,,GR-74. Etapa 08. San Miguel de Aguayo-Reinosa ,"17,96",,,GRXX0074_00E008_0,,Cantabria,Cantabria
