,idtaxon,idestadoconservacion,estadoconservacion,anio,idcategoria,categoriaconservacion,idcriterio,criteriomedidaconservacion,descripcion,criterios,idautoridad,autoridad,idaplicaa,aplicaa,iddataset,fechaalta,fechabaja,idvigente,vigencia,observaciones,idnombre
0,1,,,2000,11,EN (En peligro),,,,B1+2bce,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,1.0
1,1,,,2004,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,1.0
2,1,,,2008,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,124,,,1.0,Vigente,,1.0
3,1,,,2010,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,1.0
4,1,,,2011,11,EN (En peligro),,,,B2ab(v),1,UICN,1,Mundial,119,,,1.0,Vigente,,1.0
5,1,,,2012,39,U1 (Desfavorable-inadecuado),,,,,5,Art. 17 (Dir. Hábitats),25,Región Mediterránea,2,,,1.0,Vigente,,1.0
6,1,,,2017,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,127,2024-01-11,,1.0,Vigente,,1.0
7,1,,,2018,39,U1 (Desfavorable-inadecuado),,,,,5,Art. 17 (Dir. Hábitats),25,Región Mediterránea,72,,,1.0,Vigente,,1.0
8,2,,,2000,11,EN (En peligro),,,,C2a,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,2.0
9,2,,,2004,11,EN (En peligro),,,,"B2ab (iii,iv)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,2.0
10,2,,,2006,11,EN (En peligro),,,,"B2ab(iii,iv)",1,UICN,1,Mundial,119,,,1.0,Vigente,,2.0
11,2,,,2008,11,EN (En peligro),,,,"B1ab(iii,iv)+2ab(iii,iv)",1,UICN,2,España,124,,,1.0,Vigente,,2.0
12,2,,,2010,11,EN (En peligro),,,,"B1ab(iii,iv)+2ab(iii,iv)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,2.0
13,3,,,2000,11,EN (En peligro),,,,B1+2e,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,3.0
14,3,,,2004,13,CR (En peligro crítico),,,,C2a(ii),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,3.0
15,3,,,2008,13,CR (En peligro crítico),,,,C2a(ii),1,UICN,2,España,124,,,1.0,Vigente,,
16,3,,,2010,13,CR (En peligro crítico),,,,C2a(ii),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,3.0
17,4,,,2000,11,EN (En peligro),,,,B1+2c,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,4.0
18,4,,,2004,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,4.0
19,4,,,2008,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,124,,,1.0,Vigente,,
20,4,,,2010,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,4.0
21,6,,,2000,13,CR (En peligro crítico),,,,"B1+2c, D",1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,24277.0
22,6,,,2004,13,CR (En peligro crítico),,,,"B1ab(iii,iv",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,6.0
23,6,,,2008,13,CR (En peligro crítico),,,,"B1ab(iii,iv)",1,UICN,2,España,124,,,1.0,Vigente,,6.0
24,6,,,2010,13,CR (En peligro crítico),,,,"B1ab(iii,iv)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,6.0
25,6,,,2010,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,6.0
26,6,,,2011,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,6.0
27,6,,,2012,40,U2 (Desfavorable-malo),,,,,5,Art. 17 (Dir. Hábitats),26,Región Macaronésica,2,,,1.0,Vigente,,6.0
