,species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
0,10739,B,A072,Pernis apivorus,,,r,,,,V,DD,C,B,C,C,ES0000185,2023,135,62,
1,10664,B,A138,Charadrius alexandrinus,,,w,33.0,75.0,i,,G,C,B,B,B,ES0000329,2023,135,63,36.0
2,10896,B,A028,Ardea cinerea,,,w,3.0,46.0,i,,G,C,A,C,A,ES0000296,2023,135,63,36.0
3,10937,B,A242,Melanocorypha calandra,,,p,,,,C,DD,C,C,C,C,ES0000206,2023,135,201,
4,10738,B,A230,Merops apiaster,,,r,,,,C,DD,D,,,,ES6180017,2023,135,62,
5,10944,B,A255,Anthus campestris,,,r,,,,P,,D,,,,ES0000468,2023,135,62,
6,10739,B,A072,Pernis apivorus,,,r,,,,V,DD,C,B,C,C,ES0000188,2023,135,62,
7,10917,B,A215,Bubo bubo,,,p,,,,P,DD,C,B,C,B,ES0000182,2023,135,201,
8,10801,B,A132,Recurvirostra avosetta,,,r,,5.0,p,V,G,C,C,C,B,ES0000359,2023,135,62,34.0
9,10701,B,A043,Anser anser,,,w,11.0,50.0,i,C,G,C,C,C,C,ES0000143,2023,135,63,36.0
10,10888,B,A091,Aquila chrysaetos,,,w,,,,R,DD,D,,,,ES0000275,2023,135,63,
11,10930,B,A399,Elanus caeruleus,,,c,,,,V,DD,D,,,,ES0000010,2023,135,202,
12,10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,35.0,35.0,p,C,G,C,B,C,C,ES4140036,2023,135,62,34.0
13,10786,B,A125,Fulica atra,,,r,6.0,452.0,p,,G,C,B,C,B,ES0000484,2023,135,62,34.0
14,10894,B,A264,Cinclus cinclus,,,p,,,,R,DD,C,C,C,C,ES0000118,2023,135,201,
15,10896,B,A028,Ardea cinerea,,,c,11.0,50.0,i,,G,C,B,C,C,ES0000071,2023,135,202,36.0
16,10896,B,A028,Ardea cinerea,,,r,26.0,30.0,p,,G,C,C,C,C,ES0000434,2023,135,62,34.0
17,10733,B,A335,Certhia brachydactyla,,,r,11.0,50.0,p,C,G,C,B,C,B,ES0000143,2023,135,62,34.0
18,10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,,,,C,DD,C,B,C,C,ES0000219,2023,135,62,
19,10766,B,A298,Acrocephalus arundinaceus,,,r,5.0,12.0,p,,M,C,,C,,ES0000021,2023,135,62,34.0
20,10922,B,A087,Buteo buteo,,,p,,,,R,DD,C,B,B,C,ES0000257,2023,135,201,
21,10937,B,A242,Melanocorypha calandra,,,p,,,,R,DD,D,,,,ES0000370,2023,135,201,
22,10896,B,A028,Ardea cinerea,,,w,1.0,2.0,i,,G,D,,,,ES0000465,2023,135,63,36.0
23,10664,B,A138,Charadrius alexandrinus,,,w,,6.0,i,,G,D,,,,ES0000487,2023,135,63,36.0
24,10734,B,A243,Calandrella brachydactyla,,,r,,,,C,DD,C,C,C,B,ES4140036,2023,135,62,
25,10896,B,A028,Ardea cinerea,,,c,11.0,50.0,i,,G,C,C,C,C,ES0000398,2023,135,202,36.0
26,10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,,,,C,DD,C,B,C,C,ES0000190,2023,135,62,
27,10888,B,A091,Aquila chrysaetos,,,p,4.0,5.0,p,C,G,C,B,C,B,ES0000193,2023,135,201,34.0
28,10750,B,A246,Lullula arborea,,,p,439.0,513.0,p,,M,C,,C,,ES0000322,2023,135,201,34.0
29,10664,B,A138,Charadrius alexandrinus,,,r,,3.0,p,P,G,C,C,C,C,ES6180017,2023,135,62,34.0
30,10750,B,A246,Lullula arborea,,,p,501.0,1000.0,i,,M,C,C,C,C,ES0000398,2023,135,201,36.0
31,10734,B,A243,Calandrella brachydactyla,,,r,,,,P,DD,C,B,B,B,ES0000253,2023,135,62,
32,10750,B,A246,Lullula arborea,,,p,,,i,P,DD,C,B,C,B,ES0000309,2023,135,201,36.0
33,10738,B,A230,Merops apiaster,,,r,,,,R,DD,C,B,C,C,ES0000216,2023,135,62,
34,10786,B,A125,Fulica atra,,,c,158.0,158.0,i,,G,C,C,C,C,ES0000398,2023,135,202,36.0
35,10894,B,A264,Cinclus cinclus,,,p,,,,P,DD,C,B,C,C,ES0000015,2023,135,201,
36,10794,B,A229,Alcedo atthis,,,p,,,,R,DD,C,C,C,B,ES0000193,2023,135,201,
37,10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,,,,C,DD,C,B,C,C,ES0000361,2023,135,62,
38,10944,B,A255,Anthus campestris,,,r,,,,P,,D,,,,ES0000458,2023,135,62,
39,10937,B,A242,Melanocorypha calandra,,,p,,,,P,,D,,,,ES0000485,2023,135,201,
40,10917,B,A215,Bubo bubo,,,p,,,,P,,D,,,,ES0000465,2023,135,201,
41,10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,,,,C,DD,C,B,C,C,ES0000203,2023,135,62,
42,10786,B,A125,Fulica atra,,,w,,100.0,i,C,G,C,B,C,C,ES4140036,2023,135,63,36.0
43,10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,,G,C,B,C,B,ES0000151,2023,135,201,34.0
44,10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,,G,C,B,C,B,ES0000483,2023,135,201,34.0
45,10896,B,A028,Ardea cinerea,,,w,4.0,25.0,i,,G,C,B,C,B,ES0000265,2023,135,63,36.0
46,10896,B,A028,Ardea cinerea,,,r,51.0,100.0,p,,G,C,C,C,C,ES0000014,2023,135,62,34.0
47,10801,B,A132,Recurvirostra avosetta,,,c,,,,C,DD,B,B,C,A,ES0000004,2023,135,202,
48,10794,B,A229,Alcedo atthis,,,p,,,,R,DD,C,C,C,B,ES0000188,2023,135,201,
49,10917,B,A215,Bubo bubo,,,p,,,,R,DD,D,,,,ES0000272,2023,135,201,
50,10930,B,A399,Elanus caeruleus,,,p,1.0,5.0,p,,G,C,C,C,C,ES0000408,2023,135,201,34.0
51,10763,B,A160,Numenius arquata,,,w,100.0,100.0,i,,G,B,B,C,B,ES0000373,2023,135,63,36.0
52,10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,1001.0,10000.0,i,,M,C,C,C,C,ES0000434,2023,135,62,36.0
53,10678,B,A149,Calidris alpina,,,c,,,,P,DD,C,B,C,B,ES0000289,2023,135,202,
54,10734,B,A243,Calandrella brachydactyla,,,r,,,,R,DD,C,B,B,B,ES0000390,2023,135,62,
55,10786,B,A125,Fulica atra,,,r,3.0,3.0,p,,M,C,,C,,ES0000478,2023,135,62,34.0
56,10917,B,A215,Bubo bubo,,,p,1.0,5.0,p,,M,C,C,C,C,ES0000329,2023,135,201,34.0
57,10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,R,G,C,B,C,C,ES0000363,2023,135,201,34.0
58,10917,B,A215,Bubo bubo,,,p,4.0,4.0,p,,M,C,B,C,B,ES0000297,2023,135,201,34.0
59,10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,w,51.0,100.0,i,,M,C,C,C,C,ES0000408,2023,135,63,36.0
60,10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,R,G,C,B,C,C,ES0000249,2023,135,201,34.0
61,10786,B,A125,Fulica atra,,,p,,,,R,DD,C,B,C,C,ES0000188,2023,135,201,
62,10662,B,A205,Pterocles alchata,,,c,,,,P,DD,D,,,,ES0000138,2023,135,202,
63,10750,B,A246,Lullula arborea,,,p,,,,C,DD,C,B,C,C,ES0000366,2023,135,201,
64,10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,15.0,15.0,p,C,G,C,B,C,C,ES0000190,2023,135,62,34.0
65,10794,B,A229,Alcedo atthis,,,p,,,,R,DD,C,C,C,B,ES0000247,2023,135,201,
