,habitat_id,habitat_code,habitat_priority,habitat_np,habitat_cover,habitat_caves,habitat_data_quality,habitat_representativity,habitat_relative_surface,habitat_conservation,habitat_global,site_code,habitat_cover_ha,year,id_reporte
0,11481,1430,0,0,0.21,,M,B,C,B,B,ES2410076,100.95,2023,135
1,11584,9340,0,0,0.79,,M,B,C,B,B,ES2410076,373.83,2023,135
2,11524,5210,0,0,14.1,,M,B,C,B,B,ES2410076,6633.48,2023,135
3,11483,1520,0,0,4.47,,M,C,C,C,C,ES2410076,2105.0,2023,135
4,11577,9240,0,0,0.22,,M,B,C,B,B,ES2410076,102.07,2023,135
5,11591,9540,0,0,,,M,A,C,C,A,ES2410076,15972.8,2023,135
6,11581,92D0,0,0,0.01,,M,B,C,B,B,ES2410076,4.44,2023,135
7,11542,6420,0,0,0.02,,M,C,C,C,C,ES2410076,8.06,2023,135
8,11593,9560,0,0,4.03,,M,C,C,C,C,ES2410076,1894.02,2023,135
9,11520,4090,0,0,0.14,,M,B,C,B,B,ES2410076,67.72,2023,135
10,11529,5330,0,0,,,M,B,C,B,B,ES2410076,0.85,2023,135
11,11538,6220,0,0,3.76,,M,B,C,B,B,ES2410076,1767.79,2023,135
12,11590,9530,0,0,9.24,,M,C,C,C,B,ES2420129,4923.27,2023,135
13,11538,6220,0,0,,,DD,B,C,B,B,ES2420129,,2023,135
14,11542,6420,0,0,,,DD,C,C,C,C,ES2420129,,2023,135
15,11579,92A0,0,0,0.01,,M,B,C,B,B,ES2420129,5.36,2023,135
16,11544,6510,0,0,0.01,,M,B,C,B,B,ES2420129,3.63,2023,135
17,11483,1520,0,0,0.79,,M,C,C,C,C,ES2420129,419.67,2023,135
18,11577,9240,0,0,0.37,,M,B,C,B,B,ES2420129,194.85,2023,135
19,11518,4060,0,0,2.55,,M,B,C,B,B,ES2420129,1355.84,2023,135
20,11520,4090,0,0,2.85,,M,B,C,B,B,ES2420129,1518.89,2023,135
21,11524,5210,0,0,,,M,C,C,C,C,ES2420129,0.9,2023,135
22,11558,8210,0,0,0.01,,M,A,C,A,A,ES2420129,4.08,2023,135
23,11537,6210,0,0,0.07,,M,A,C,A,A,ES2420129,37.87,2023,135
24,11584,9340,0,0,7.35,,M,A,C,A,A,ES2420129,3917.2,2023,135
25,11557,8130,0,0,,,M,A,C,A,A,ES2420129,0.66,2023,135
26,11593,9560,0,0,6.75,,M,B,C,B,B,ES2420129,3593.15,2023,135
27,11536,6170,0,0,2.91,,M,C,C,C,C,ES2420129,1550.32,2023,135
28,11482,1510,0,0,,,DD,C,C,C,C,ES2420129,,2023,135
29,11538,6220,0,0,0.12,,M,B,C,B,B,ES2430104,0.21,2023,135
