other_species_id,other_species_group,other_species_code,other_species_name,other_species_sensitive,other_species_np,other_species_size_min,other_species_size_max,other_species_unit,other_species_category,other_species_motivation,site_code,year,id_reporte,other_species_type,other_species_id_type,other_species_id_unit
55,P,,Artemisia armeniaca Lam.,,,,,,P,A,ES2420126,2023,135,np,203,
67,P,,Aster linosyris (L.) Bernh.,,,1.0,1.0,grids10x10,V,D,ES0000003,2023,135,np,203,47.0
70,P,,Aster tripolium subsp. pannonicus (Jacq.) Soó,,,135.0,,i,R,D,ES6120006,2023,135,np,203,36.0
71,P,,Aster willkommii Sch. Bip.,,,,,,P,B,ES2430007,2023,135,np,203,
98,P,,Avenula crassifolia (Font Quer) Holub,,,,,,,B,ES5310105,2023,135,np,203,
117,P,,Bellis cordifolia (Kunze) Willk.,,,83000.0,84000.0,i,R,"A,B,D",ES0000031,2023,135,np,203,36.0
118,P,,Bellis rotundifolia (Desf.) Boiss. & Reut.,,,,,,R,B,ES6310001,2023,135,np,203,
121,P,,Bupleurum balansae Boiss. & Reut.,,,,,,C,B,ES6310001,2023,135,np,203,
127,P,,Calamagrostis pseudophragmites (Haller f.) Koeler,,,,,,R,D,ES0000164,2023,135,np,203,
133,P,,Calendula suffruticosa Vahl,,,,,,P,B,ES0000254,2023,135,np,203,
141,P,,"Castrilanthemum debeauxii (Degen, Hervier & É. Rev.) Vogt & Oberpr.",,,,,,P,"B,D",ES6140005,2023,135,np,203,
168,P,,Cicerbita plumieri (L.) Kirschl.,,,,,,P,A,ES2120011,2023,135,np,203,
179,P,,Corynephorus macrantherus Boiss. & Reut.,,,,,,P,A,ES0000014,2023,135,np,203,
187,P,,Crepis oporinoides Froel.,,,,,,R,B,ES6200016,2023,135,np,203,
191,P,,Crepis pyrenaica (L.) Greuter,,,,,,P,D,ES0000244,2023,135,np,203,
194,P,,Crepis tingitana Ball,,,34300.0,35000.0,i,V,D,ES0000031,2023,135,np,203,36.0
195,P,,Crepis triasii (Cambess.) Fr.,,,,,,,B,ES0000073,2023,135,np,203,
208,P,,Crepis granatensis,,,2055.0,2055.0,i,V,,ES6160007,2023,135,p,201,36.0
217,P,,Daveaua anthemoides Mariz,,,,,,P,"A,D",ES0000051,2023,135,np,203,
218,P,,Delphinium fissum Waldst. & Kit.,,,,,,P,A,ES0000014,2023,135,np,203,
221,P,,Doronicum carpetanum Willk.,,,,,,R,"B,D",ES0000164,2023,135,np,203,
227,P,,Desmazeria marina (L.) Druce,,,,,,P,D,ES0000048,2023,135,np,203,
229,P,,Dianthus hinoxianus Gallego,,,6180.0,6180.0,area,P,"A,B,D",ES6150004,2023,135,np,203,9.0
245,P,,Erigeron frigidus,1.0,,1229.0,1329.0,i,V,,ES6140004,2023,135,p,201,36.0
249,P,,Erodium celtibericum Pau,,,3.0,3.0,grids1x1,,B,ES2420129,2023,135,np,203,22.0
251,P,,Erodium glandulosum (Cav.) Willd.,,,,,,P,B,ES0000016,2023,135,np,203,
288,P,,Festuca indigesta Boiss. subsp. indigesta,,,,,i,P,D,ES6140004,2023,135,np,203,36.0
300,P,,Festuca triflora Desf.,,,169.0,169.0,i,,D,ES5212008,2023,135,np,203,36.0
302,P,,Festuca vasconcensis (Markgr.-Dann.) Auquier & Kerguélen,,,,,,P,"B,D",ES0000144,2023,135,np,203,
307,P,,Filago desertorum Pomel,,,2.0,,localities,P,D,ES6110005,2023,135,np,203,35.0
340,P,,"Helianthemum guerrae Sánchez-Gómez, J.S. Carrion & M.A. Carrión",,,,,,V,A,ES0000265,2023,135,np,203,
342,P,,Helichrysum ambiguum (Pers.) C. Presl,,,,,,,B,ES0000073,2023,135,np,203,
346,P,,Helichrysum italicum (Roth) G. Don,,,,,,,B,ES0000221,2023,135,np,203,
351,P,,Helichrysum rupestre (Raf.) DC.,,,,,,,C,ES0000078,2023,135,np,203,
352,P,,Helichrysum stoechas (L.) Moench,,,,,,P,D,ES4320039,2023,135,np,203,
355,P,,Helictotrichon cantabricum (Lag.) Gervais,,,,,,P,B,ES0000286,2023,135,np,203,
358,P,,Hymenostemma pseudanthemis,,,7800.0,9400.0,i,V,,ES0000031,2023,135,p,201,36.0
366,P,,Hispidella hispanica Lam.,,,,,,P,A,ES0000014,2023,135,np,203,
373,P,,Homogyne alpina (L.) Cass.,,,3.0,3.0,grids10x10,C,D,ES0000003,2023,135,np,203,47.0
374,P,,Heteranthemis viscidehirta Schott,,,300.0,800.0,i,R,D,ES6120006,2023,135,np,203,36.0
376,P,,Hieracium texedense Pau,,,116.0,126.0,i,V,"A,B,D",ES6170007,2023,135,np,203,36.0
382,P,,Hypochaeris salzmanniana DC.,,,400.0,2000.0,i,R,"A,D",ES6120017,2023,135,np,203,36.0
390,P,,Inula helvetica Weber,,,1.0,2.0,grids10x10,V,D,ES4120089,2023,135,np,203,47.0
